ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism	sample_id
TLA-2	3003203	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	11.0	0.0	11.0	65.57	600.0	107.09	0	0	0	0				915	TLA beta-lactamase	monobactam; cephalosporin	antibiotic inactivation	ERR1713331
QnrB38	3002753	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter freundii	74.0	0.0	74.0	32.56	210.0	45.05	0	0	0	0				645	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	ERR1713331
CARB-4	3002243	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.0	0.0	2.0	34.72	301.0	197.5	0	0	0	0				867	CARB beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
VIM-12	3002282	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.0	0.0	2.0	33.58	269.0	201.0	0	0	0	0				801	VIM beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
aadA4	3002604	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	6.0	0.0	6.0	69.07	545.0	185.33	0	0	0	0				789	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
ErmE	3000326	protein homolog model	CARD	1	100.0	no data	no data	Saccharopolyspora erythraea	3.0	0.0	3.0	14.66	168.0	86.0	0	0	0	0				1146	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	ERR1713331
mdtF	3000796	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	154.0	0.0	154.0	99.94	3112.0	177.36	0	0	0	0				3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux	ERR1713331
AAC(6')-Iu	3002565	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter dispersus	1.0	0.0	1.0	5.22	23.0	57.0	0	0	0	0				441	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
arr-8	3002853	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella oxytoca	15.0	0.0	15.0	96.47	437.0	134.0	0	0	0	0				453	rifampin ADP-ribosyltransferase (Arr)	rifamycin antibiotic	antibiotic inactivation	ERR1713331
APH(2'')-Ie	3002634	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus casseliflavus	4.0	0.0	4.0	12.8	116.0	58.75	0	0	0	0				906	APH(2'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
cphA7	3003103	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas jandaei	2.0	0.0	2.0	32.16	246.0	188.0	0	0	0	0				765	CphA beta-lactamase	carbapenem	antibiotic inactivation	ERR1713331
catB3	3002676	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	39.0	0.0	39.0	100.0	633.0	187.56	0	0	0	0				633	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	ERR1713331
aadA12	3002612	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	5.0	0.0	5.0	30.3	240.0	165.4	0	0	0	0				792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
mgrA	3000815	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	4.0	0.0	4.0	18.47	82.0	53.5	0	0	0	0				444	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; moenomycin antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713331
cpxA	3000830	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	105.0	0.0	105.0	100.0	1374.0	168.28	0	0	0	0				1374	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	ERR1713331
VIM-29	3002299	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.0	0.0	1.0	9.99	80.0	175.0	0	0	0	0				801	VIM beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
tet(42)	3000572	protein homolog model	CARD	1	100.0	no data	no data	Micrococcus sp.	7.0	0.0	7.0	49.65	639.0	160.0	0	0	0	0				1287	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
fosA5	3003209	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	8.0	0.0	8.0	92.86	390.0	126.38	0	0	0	0				420	fosfomycin thiol transferase	fluoroquinolone antibiotic; aminoglycoside antibiotic; phosphonic acid antibiotic	antibiotic inactivation	ERR1713331
tet(E)	3000173	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	13.0	0.0	13.0	77.18	940.0	188.85	0	0	0	0				1218	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
CfxA2	3003002	protein homolog model	CARD	1	100.0	no data	no data	Prevotella intermedia	156.0	0.0	156.0	100.0	966.0	188.98	0	0	0	0				966	CfxA beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
cmlA5	3002695	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	65.0	0.0	65.0	100.0	1260.0	194.25	0	0	0	0				1260	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	ERR1713331
lsaE	3003206	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	204.0	0.0	204.0	100.0	1485.0	184.7	0	0	0	0				1485	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection	ERR1713331
CfxA6	3003097	protein homolog model	CARD	1	100.0	no data	no data	uncultured organism	502.0	0.0	502.0	100.0	996.0	166.74	0	0	0	0				996	CfxA beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
sdiA	3000826	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	12.0	0.0	12.0	37.07	268.0	122.75	0	0	0	0				723	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713331
smeD	3003055	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	74.0	0.0	74.0	99.75	1182.0	96.09	0	0	0	0				1185	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux	ERR1713331
CMY-4	3002015	protein homolog model	CARD	1	100.0	no data	no data	Proteus mirabilis	2.0	0.0	2.0	25.55	292.0	193.5	0	0	0	0				1143	CMY beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
vatD	3002843	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	12.0	0.0	12.0	27.48	169.0	61.08	0	0	0	0				615	streptogramin vat acetyltransferase	streptogramin antibiotic; streptogramin A antibiotic	antibiotic inactivation	ERR1713331
APH(3')-Ia	3002641	protein homolog model	CARD	1	100.0	no data	no data	Serratia marcescens	5.0	0.0	5.0	34.31	280.0	110.6	0	0	0	0				816	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
OXA-85	3001780	protein homolog model	CARD	1	100.0	no data	no data	Fusobacterium nucleatum	21.0	0.0	21.0	46.01	352.0	52.9	0	0	0	0				765	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
ErmQ	3000593	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	2.0	0.0	2.0	10.47	81.0	45.0	0	0	0	0				774	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	ERR1713331
OprN	3000805	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	132.0	0.0	132.0	92.25	1309.0	129.98	0	0	0	0				1419	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	ERR1713331
mexX	3003034	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	23.0	0.0	23.0	61.28	717.0	89.43	0	0	0	0				1170	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713331
smeS	3003067	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	26.0	0.0	26.0	64.67	908.0	115.5	0	0	0	0				1404	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam	antibiotic efflux	ERR1713331
OXY-1-2	3002390	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella oxytoca	2.0	0.0	2.0	26.48	232.0	201.0	0	0	0	0				876	OXY beta-lactamase	monobactam; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
CARB-14	3002252	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	12.0	0.0	12.0	71.01	637.0	197.08	0	0	0	0				897	CARB beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
mdtH	3001216	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	55.0	0.0	55.0	100.0	1209.0	182.05	0	0	0	0				1209	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	ERR1713331
lnuC	3002837	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus agalactiae	35.0	0.0	35.0	99.8	494.0	180.54	0	0	0	0				495	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	ERR1713331
QnrB61	3002774	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter braakii	4.0	0.0	4.0	43.88	283.0	126.75	0	0	0	0				645	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	ERR1713331
OXA-46	3001797	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.0	0.0	2.0	35.08	281.0	201.0	0	0	0	0				801	OXA beta-lactamase; OXA-46-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
mdtA	3000792	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	74.0	0.0	74.0	100.0	1248.0	181.34	0	0	0	0				1248	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux	ERR1713331
catB8	3002680	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	1.0	0.0	1.0	17.06	108.0	185.0	0	0	0	0				633	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	ERR1713331
SLB-1	3003556	protein homolog model	CARD	1	100.0	no data	no data	Shewanella livingstonensis	1.0	0.0	1.0	3.6	27.0	34.0	0	0	0	0				750	SHW beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
dfrA8	3002863	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	3.0	0.0	3.0	43.73	223.0	193.0	0	0	0	0				510	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	ERR1713331
dfrG	3002868	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	2.0	0.0	2.0	13.05	65.0	93.5	0	0	0	0				498	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	ERR1713331
mtrE	3000812	protein homolog model	CARD	1	100.0	no data	no data	Neisseria gonorrhoeae	30.0	0.0	30.0	30.13	423.0	116.07	0	0	0	0				1404	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	ERR1713331
CARB-3	3002242	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.0	0.0	1.0	16.5	151.0	201.0	0	0	0	0				915	CARB beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-4	3001399	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	20.0	0.0	20.0	72.32	601.0	195.7	0	0	0	0				831	OXA beta-lactamase; OXA-1-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
QnrVC4	3002801	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas caviae	32.0	0.0	32.0	100.0	657.0	192.88	0	0	0	0				657	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	ERR1713331
catP	3002686	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	4.0	0.0	4.0	37.18	232.0	67.25	0	0	0	0				624	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	ERR1713331
LEN-1	3002454	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	1.0	0.0	1.0	2.02	17.0	23.0	0	0	0	0				840	LEN beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
AAC(3)-IIa	3002533	protein homolog model	CARD	1	100.0	no data	no data	Plasmid pWP113a	5.0	0.0	5.0	38.79	334.0	166.0	0	0	0	0				861	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
MexA	3000377	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	93.0	0.0	93.0	83.51	962.0	118.45	0	0	0	0				1152			antibiotic efflux	ERR1713331
blaF	3003562	protein homolog model	CARD	1	100.0	no data	no data	Mycolicibacterium fortuitum	6.0	0.0	6.0	3.73	33.0	40.0	0	0	0	0				885	blaF family beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
amrB	3002983	protein homolog model	CARD	1	100.0	no data	no data	Burkholderia pseudomallei	51.0	0.0	51.0	39.66	1242.0	99.2	0	0	0	0				3132	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; aminoglycoside antibiotic	antibiotic efflux	ERR1713331
macB	3000535	protein homolog model	CARD	1	100.0	no data	no data	Neisseria gonorrhoeae	244.0	0.0	244.0	65.06	1259.0	103.12	0	0	0	0				1935	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	ERR1713331
tet(B)	3000166	protein homolog model	CARD	1	100.0	no data	no data	Gram-negative bacterium	7.0	0.0	7.0	31.84	384.0	199.0	0	0	0	0				1206	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
mphF	3003071	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	17.0	0.0	17.0	97.33	876.0	183.76	0	0	0	0				900	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation	ERR1713331
TUS-1	3000844	protein homolog model	CARD	1	100.0	no data	no data	Myroides odoratus	18.0	0.0	18.0	19.01	142.0	58.72	0	0	0	0				747	TUS beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
tet(Y)	3000182	protein homolog model	CARD	1	100.0	no data	no data	IncQ plasmid	12.0	0.0	12.0	81.89	963.0	199.83	0	0	0	0				1176	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
OpmD	3000809	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	60.0	0.0	60.0	33.81	495.0	66.77	0	0	0	0				1464	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713331
tet(W)	3000194	protein homolog model	CARD	1	100.0	no data	no data	Butyrivibrio fibrisolvens	1121.0	0.0	1121.0	100.0	1920.0	194.32	0	0	0	0				1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1713331
CARB-16	3002255	protein homolog model	CARD	1	100.0	no data	no data	Psychrobacter maritimus	45.0	0.0	45.0	81.61	732.0	190.36	0	0	0	0				897	CARB beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
tetA(P)	3000180	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	20.0	0.0	20.0	59.94	757.0	114.3	0	0	0	0				1263	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
dfrA3	3003105	protein homolog model	CARD	1	100.0	no data	no data	Plasmid pAZ1	1.0	0.0	1.0	11.45	56.0	151.0	0	0	0	0				489	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	ERR1713331
QnrB59	3002772	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter freundii	2.0	0.0	2.0	27.61	188.0	143.5	0	0	0	0				681	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	ERR1713331
AAC(6')-Is	3002562	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter variabilis	1.0	0.0	1.0	5.44	24.0	34.0	0	0	0	0				441	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
emrY	3000254	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	52.0	0.0	52.0	99.29	1528.0	191.25	0	0	0	0				1539	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
AAC(3)-Ib	3002530	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	12.0	0.0	12.0	99.44	528.0	191.08	0	0	0	0				531	AAC(3)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
FOX-7	3002160	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	7.0	0.0	7.0	48.22	554.0	133.71	0	0	0	0				1149	FOX beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
clbA	3002814	protein homolog model	CARD	1	100.0	no data	no data	Bacillus amyloliquefaciens	10.0	0.0	10.0	21.43	225.0	71.3	0	0	0	0				1050	Cfr 23S ribosomal RNA methyltransferase	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target alteration	ERR1713331
vgaA	3002829	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	14.0	0.0	14.0	12.68	199.0	60.21	0	0	0	0				1569	vga-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection	ERR1713331
abeS	3000768	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	10.0	0.0	10.0	73.33	242.0	82.8	0	0	0	0				330	small multidrug resistance (SMR) antibiotic efflux pump	macrolide antibiotic; aminocoumarin antibiotic	antibiotic efflux	ERR1713331
emrK	3000206	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	33.0	0.0	33.0	100.0	1056.0	190.48	0	0	0	0				1056	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
mdtG	3001329	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	60.0	0.0	60.0	100.0	1227.0	174.53	0	0	0	0				1227	major facilitator superfamily (MFS) antibiotic efflux pump	phosphonic acid antibiotic	antibiotic efflux	ERR1713331
adeJ	3000781	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	5427.0	0.0	5427.0	99.02	3146.0	129.23	0	0	0	0				3177	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	ERR1713331
OXA-211	3001710	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	650.0	0.0	650.0	100.0	825.0	192.74	0	0	0	0				825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
smeF	3003057	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	140.0	0.0	140.0	74.45	1043.0	105.83	0	0	0	0				1401	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux	ERR1713331
ErmF	3000498	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	445.0	0.0	445.0	100.0	801.0	189.11	0	0	0	0				801	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	ERR1713331
mecR1	3000215	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	7.0	0.0	7.0	4.21	74.0	54.43	0	0	0	0				1758	methicillin resistant PBP2	penicillin beta-lactam	antibiotic target replacement	ERR1713331
aadA25	3003197	protein homolog model	CARD	1	100.0	no data	no data	Pasteurella multocida	2.0	0.0	2.0	14.14	112.0	179.5	0	0	0	0				792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
GES-4	3002333	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	42.0	0.0	42.0	84.14	727.0	188.98	0	0	0	0				864	GES beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
aadA	3002601	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	20.0	0.0	20.0	54.04	428.0	180.15	0	0	0	0				792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
eptA	3003576	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	101.0	0.0	101.0	100.0	1644.0	183.97	0	0	0	0				1644	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ERR1713331
AcrS	3000656	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	33.0	0.0	33.0	100.0	663.0	183.0	0	0	0	0				663	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713331
