card_subject_id	total_read_hits	R1_read_hits	R2_read_hits	mean_percent_identity	maximum_alignment_length	minimum_evalue	maximum_bitscore
gb|AKL79742.1|ARO:3003808|carO	1016	504	512	84.8109	50	6.92e-30	102.0000
gb|ABM44583.1|ARO:3003302|Bbac_gyrA_AMU	996	509	487	84.6154	51	1.72e-29	105.0000
gb|AAC76055.1|ARO:3003308|Ecol_parC_FLO	969	483	486	91.9354	50	5.25e-33	115.0000
gb|AEM66528.1|ARO:3001809|OXA-209	927	466	461	89.5304	50	1.69e-30	104.0000
gb|WP_001985623.1|ARO:3004578|Abau_AbuO	815	425	390	84.8355	50	4.3e-28	100.0000
gb|AAG07594.1|ARO:3000808|MexI	768	386	382	86.5871	50	6.38e-27	97.8000
gb|WP_041777404.1|ARO:3004480|Bado_rpoB_RIF	762	375	387	86.4612	50	2.21e-31	110.0000
gb|TKW44661.1|ARO:3005040|YajC	738	373	365	85.4787	51	2.02e-30	99.8000
gb|BAA16344.1|ARO:3000491|acrD	730	381	349	85.9344	50	3.02e-31	110.0000
gb|AAG05881.1|ARO:3000803|MexE	680	362	318	83.0438	51	8.9e-28	99.4000
gb|AKO71461.1|ARO:3004608|EreD	656	331	325	97.8881	50	1.14e-32	112.0000
gb|AAG03816.1|ARO:3000379|OprM	653	342	311	84.3796	50	8.05e-25	91.7000
gb|BAE06008.1|ARO:3003699|mexQ	651	330	321	87.9925	50	1.52e-28	102.0000
gb|AAG04750.1|ARO:3004077|PmpM	648	329	319	84.3221	50	1.02e-28	102.0000
gb|NP_253005.1|ARO:3004069|MvaT	642	322	320	85.7844	50	1.33e-28	95.5000
gb|AAG05914.1|ARO:3004075|MuxC	639	325	314	83.4513	50	9.86e-28	100.0000
gb|CAJ77856.1|ARO:3000777|adeF	634	329	305	86.2082	56	7.82e-29	103.0000
gb|AAC75137.1|ARO:3000794|mdtC	606	302	304	86.3924	50	1.65e-29	105.0000
gb|ABO11759.2|ARO:3004573|Abau_AbaF	555	254	301	83.2465	50	3.83e-29	103.0000
gb|AAC76209.2|ARO:3003386|Ecol_folP_SLF	550	306	244	89.6469	50	9.96e-31	105.0000
gb|BAL43360.1|ARO:3003745|mef(C)	546	279	267	93.1747	50	1.17e-29	104.0000
gb|AAA27459.1|ARO:3004683|aadS	525	271	254	95.7821	50	2.13e-34	114.0000
gb|AAW89918.1|ARO:3003929|Ngon_parC_FLO	524	262	262	84.4073	50	3.64e-30	107.0000
gb|AAB58161.1|ARO:3003010|ceoB	515	247	268	84.5670	50	1.35e-27	99.8000
gb|CBW16027.1|ARO:3003924|Hpin_gyrA_FLO	496	259	237	86.5268	50	4.75e-30	106.0000
gb|AAD51348.1|ARO:3003066|smeR	488	247	241	83.3084	50	1.43e-26	93.2000
gb|CAC14595.1|ARO:3003056|smeE	481	242	239	84.9915	51	3.71e-28	101.0000
gb|CAG39033.1|ARO:3003301|Saur_gyrB_AMU	478	238	240	84.7697	51	9.74e-28	100.0000
gb|AAF42062.1|ARO:3000811|mtrD	475	238	237	83.7265	50	1.05e-25	94.4000
gb|WP_000819088.1|ARO:3003296|Saur_gyrA_FLO	475	240	235	84.4987	50	1.52e-28	102.0000
gb|AAP43110.2|ARO:3003923|oqxB	461	235	226	88.5358	50	4.96e-30	106.0000
gb|AGV28567.1|ARO:3000559|adeN	448	254	194	85.3353	50	1e-30	103.0000
gb|AAC76298.1|ARO:3000502|AcrF	439	237	202	87.2613	51	1.19e-31	111.0000
gb|ADK13120.1|ARO:3004562|Cdif_gyrB_FLO	437	214	223	82.4892	51	1.81e-27	99.4000
gb|AAL73129.1|ARO:3000616|mel	432	208	224	91.4657	50	4.29e-29	102.0000
gb|AAC76539.1|ARO:3000796|mdtF	425	228	197	85.0802	50	1.21e-29	105.0000
gb|AIL15701.1|ARO:3003775|Ecol_murA_FOF	416	223	193	84.5454	50	6.82e-31	107.0000
gb|AAG07065.1|ARO:3003692|MexJ	412	221	191	82.6121	50	2.99e-25	92.0000
gb|ACB05808.1|ARO:3003109|msrE	404	201	203	96.9106	50	3.31e-31	109.0000
gb|BAA34300.1|ARO:3003033|mexY	404	210	194	83.0968	50	3.24e-24	90.1000
gb|QXW20276.1|ARO:3007635|CAE-1	387	197	190	83.9535	50	2.31e-28	99.4000
gb|AAC74000.1|ARO:3003950|msbA	382	212	170	87.1916	50	1.42e-28	102.0000
gb|WP_041918279.1|ARO:3003925|Hpin_parC_FLO	374	198	176	87.5168	50	9.78e-33	114.0000
gb|BAA11086.1|ARO:3003314|Saur_parE_AMU	363	181	182	84.7912	50	1.34e-27	99.8000
gb|CAH35802.1|ARO:3002983|amrB	362	193	169	83.8345	50	6.48e-22	83.6000
gb|WP_082741435.1|ARO:3004569|ICR-Mo	362	184	178	97.2122	50	1.36e-32	113.0000
gb|AAC74177.1|ARO:3004049|Ecol_fabG_TRC	353	172	181	83.6377	50	2.85e-29	100.0000
gb|WP_001182024.1|ARO:3007053|Hpyl_gyrB_FLO	353	212	141	83.2830	50	1.05e-25	94.4000
gb|AAB41956.1|ARO:3000800|MexC	337	167	170	85.4318	50	1.74e-24	90.1000
gb|AAZ42322.1|ARO:3005098|qacL	336	174	162	96.0024	50	6.96e-31	100.0000
gb|WP_092689909.1|ARO:3005878|OXA-666	326	170	156	93.3390	50	1.11e-33	112.0000
gb|CAA79727.1|ARO:3000191|tet(Q)	325	154	171	95.2865	50	7.94e-32	111.0000
gb|NP_388014.1|ARO:3007527|Bsub_rpsE_SPT	325	172	153	82.2511	50	5.49e-26	90.1000
gb|AAL21173.1|ARO:3003926|Sent_gyrA_FLO	317	169	148	88.8325	50	2.21e-31	110.0000
gb|BAL43359.1|ARO:3003742|mphG	317	150	167	91.4899	50	5.69e-36	119.0000
gb|BAE77933.1|ARO:3000518|CRP	315	165	150	86.4241	50	1.06e-31	105.0000
gb|AAG03814.1|ARO:3000377|MexA	308	150	158	83.2442	51	4.82e-26	94.4000
gb|AAX99225.1|ARO:3004124|Mcat_M35_AMX	302	154	148	84.5391	38	3.28e-14	61.6000
gb|AAW89357.1|ARO:3003928|Ngon_gyrA_FLO	295	157	138	86.2959	52	1.19e-31	111.0000
gb|P24734.3|ARO:3007491|Paer_ampR_ATM	283	147	136	86.2767	50	1.39e-29	102.0000
gb|AAL14439.1|ARO:3000774|adeA	282	141	141	88.2355	50	1.06e-27	99.0000
gb|AAB41957.1|ARO:3000801|MexD	269	138	131	84.3033	50	5.29e-28	100.0000
gb|WP_051021433.1|ARO:3004600|LnuH	263	127	136	90.0034	50	2.09e-32	108.0000
gb|AAD51345.1|ARO:3003052|smeB	257	135	122	85.0755	52	7.31e-23	86.3000
gb|AAG03546.1|ARO:3003679|TriA	257	130	127	86.0689	50	8.41e-22	82.8000
gb|CAC30845.1|ARO:3003284|Mlep_rpoB_RIF	254	120	134	87.3433	50	3.01e-31	110.0000
gb|CAC29514.1|ARO:3003298|Mlep_gyrA_FLO	251	125	126	85.3697	50	3.42e-27	98.6000
gb|AAG04569.1|ARO:3003896|Paer_PhoQ_CST	248	124	124	82.2065	50	2.38e-23	87.4000
gb|CAA52296.1|ARO:3003729|Saur_ileS_MUP	248	111	137	83.1169	50	1.46e-28	102.0000
gb|CDJ73082.1|ARO:3003900|Ecol_cyaA_FOF	248	130	118	94.7625	50	3.42e-32	112.0000
gb|AAC75733.1|ARO:3000074|emrB	247	128	119	86.4247	50	2.14e-33	115.0000
gb|CAB55427.1|ARO:3004775|CME-1	245	120	125	81.9576	50	1e-28	100.0000
gb|NP_216559.1|ARO:3003394|Mtub_pncA_PZA	243	124	119	86.9765	27	2.98e-11	52.4000
gb|EHL92831.1|ARO:3004588|Kpne_KpnG	242	126	116	86.4901	50	9.63e-31	107.0000
gb|AAW66497.1|ARO:3000566|tet(39)	240	120	120	99.3067	50	3.77e-31	108.0000
gb|AIA08936.1|ARO:3000444|rphA	237	120	117	82.7793	50	2.25e-21	82.0000
gb|AAA88675.1|ARO:3000498|ErmF	230	115	115	97.3074	50	1.85e-31	106.0000
gb|AAC60780.1|ARO:3003049|rosB	224	117	107	85.5446	50	6.63e-28	100.0000
gb|AGW16415.1|ARO:3001521|OXA-333	223	112	111	98.9646	50	4.56e-34	113.0000
gb|WP_003690088.1|ARO:3004956|Ngon_rpld	218	118	100	84.7216	50	1.54e-30	102.0000
gb|BAD59497.1|ARO:3000501|rpoB2	215	118	97	82.2265	50	3.63e-30	107.0000
gb|AAL22055.1|ARO:3003317|Sser_parE_FLO	214	101	113	85.9603	50	1.3e-30	108.0000
gb|AAG05188.1|ARO:3005068|ParR	204	90	114	83.7931	50	4.08e-27	94.7000
gb|AAC60781.1|ARO:3003048|rosA	194	105	89	85.1144	50	3.23e-30	105.0000
gb|ABI20451.1|ARO:3003741|mphE	192	95	97	98.8005	50	2.09e-32	109.0000
gb|AAL82403.1|ARO:3003297|Bbac_gyrA_FLO	185	84	101	82.7243	51	2.84e-28	101.0000
gb|NP_214519.2|ARO:3003459|Mtub_gyrB_FLO	182	89	93	83.3044	50	6.37e-27	97.8000
gb|VWQ04088.1|ARO:3005041|mlaF	182	96	86	84.8258	50	2.16e-30	103.0000
gb|AAL19305.1|ARO:3000790|mdsB	181	94	87	86.2972	50	6.38e-27	97.8000
gb|EGP45231.1|ARO:3004144|AxyY	175	88	87	82.9520	50	3.5e-25	92.8000
gb|NP_216146.1|ARO:3004721|Mtub_rpsA_PZA	167	86	81	88.1796	50	3.95e-29	103.0000
gb|WP_001289569.1|ARO:3003312|Saur_parC_FLO	164	85	79	82.8811	50	2.51e-27	99.0000
gb|AAL05553.1|ARO:3003206|lsaE	162	80	82	97.3210	50	1.83e-32	112.0000
gb|AAG05916.1|ARO:3004073|MuxA	154	83	71	84.0818	50	5.36e-22	83.6000
gb|AGU01679.2|ARO:3003894|Rm3	154	79	75	95.5662	50	5.21e-35	116.0000
gb|NP_217299.1|ARO:3004977|Mtub_gpsI_PZA	154	71	83	86.2156	50	5.99e-29	103.0000
gb|AAC75314.1|ARO:3003578|PmrF	152	67	85	86.5474	50	9.54e-32	108.0000
gb|AEV91550.1|ARO:3001710|OXA-211	149	80	69	97.7799	50	9.06e-34	112.0000
gb|AJP77085.1|ARO:3003717|ESP-1	149	75	74	94.1678	50	6.93e-33	110.0000
gb|BAL40894.1|ARO:3004770|CIA-3	149	79	70	82.3966	50	6.49e-25	90.1000
gb|AAC75291.1|ARO:3003294|Ecol_gyrA_FLO	147	77	70	91.0088	50	1.95e-30	107.0000
gb|ABS43151.1|ARO:3000784|cmeB	147	74	73	85.3939	50	2e-20	79.3000
gb|ALX99516.1|ARO:3003811|adeC	147	65	82	83.6952	50	4.53e-27	97.8000
gb|CDO61516.1|ARO:3003949|efrB	145	70	75	85.8683	50	1.96e-25	92.4000
gb|AAK38324.1|ARO:3000840|JOHN-1	143	74	69	84.7224	50	2.2e-29	100.0000
gb|AAL97684.1|ARO:3003387|Spyo_folP_SLF	142	71	71	84.8021	50	2.67e-22	82.8000
gb|CAA10975.1|ARO:3000194|tet(W)	140	77	63	98.2186	50	2.08e-31	110.0000
gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	139	63	76	83.6281	34	2.97e-14	60.8000
gb|AJP77054.1|ARO:3003716|CPS-1	139	70	69	92.6525	50	2.6e-32	109.0000
gb|CDJ72759.1|ARO:3003899|Ecol_PtsI_FOF	138	71	67	93.8145	50	1.69e-30	107.0000
gb|AER05434.1|ARO:3003974|Cacn_gyrA_FLO	136	81	55	83.7551	50	1.62e-31	110.0000
gb|BAB38260.1|ARO:3000830|cpxA	133	65	68	93.3519	50	3.65e-32	111.0000
gb|AAG04347.1|ARO:3003686|Paer_oprD_IPM	132	67	65	83.6455	50	1.52e-27	99.0000
gb|AAA27471.1|ARO:3000205|tet(X)	128	64	64	99.0977	50	2.42e-32	111.0000
gb|QQA64076.1|ARO:3007049|mef(J)	128	66	62	98.6844	50	5.38e-31	107.0000
gb|ADM92605.1|ARO:3000553|adeR	124	68	56	83.0927	50	5.17e-27	94.7000
gb|AEV91551.1|ARO:3001711|OXA-212	121	56	65	98.5826	50	1.55e-31	107.0000
gb|NP_358351.1|ARO:3003311|Spne_parC_FLO	119	63	56	84.8840	50	2.08e-28	102.0000
gb|NP_214520.1|ARO:3003295|Mtub_gyrA_FLO	115	66	49	83.6322	50	2.08e-28	102.0000
gb|AAN82549.1|ARO:3003369|Ecol_EFTu_PLV	113	59	54	83.7965	50	2.18e-27	98.2000
gb|CDO16001.1|ARO:3007421|Kpne_PBP3_BLA	113	61	52	95.0265	50	1.27e-30	108.0000
gb|AAO82599.1|ARO:3003792|Efae_liaR_DAP	112	65	47	82.5973	50	1.9e-26	92.4000
gb|AIA35096.1|ARO:3005059|LptD	108	59	49	89.6731	51	1.34e-32	114.0000
gb|AAC75271.1|ARO:3003952|YojI	105	57	48	90.6362	50	5.74e-31	108.0000
gb|NP_217974.1|ARO:3004999|Mtub_rpoA_RIF	104	57	47	84.8115	50	5.96e-29	101.0000
gb|AAB52541.1|ARO:3004833|Ngon_PBP1_BLA	100	46	54	84.7070	51	5.73e-29	103.0000
gb|CDJ73208.1|ARO:3003890|Ecol_UhpT_FOF	100	50	50	94.1380	50	1.92e-30	107.0000
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	96	52	44	96.2875	50	3.83e-33	110.0000
gb|ACN32294.1|ARO:3000237|TolC	94	47	47	92.5702	53	5.5e-28	100.0000
gb|VEH83056.1|ARO:3007544|Erhu_gyrA_ENR	94	52	42	82.6426	50	2.08e-28	102.0000
gb|AAG05913.1|ARO:3004072|OpmB	90	50	40	82.6056	50	6.85e-20	77.8000
gb|BAM10414.1|ARO:3003039|OprA	86	42	44	83.9221	47	6.03e-19	75.1000
gb|CDM87362.1|ARO:3001559|OXA-373	86	50	36	98.0558	50	8.19e-35	115.0000
gb|CAB41414.1|ARO:3002836|lnuB	85	42	43	97.4729	50	2.66e-31	106.0000
gb|NP_215181.1|ARO:3003283|Mtub_rpoB_RIF	85	39	46	83.3094	50	1.19e-26	97.1000
gb|AAF61417.1|ARO:3002244|CARB-5	83	47	36	89.6217	50	2.44e-31	107.0000
gb|AAC76093.1|ARO:3002986|bacA	81	41	40	90.1654	51	9.78e-33	110.0000
gb|AEY83581.1|ARO:3000510|Saur_mupB_MUP	79	37	42	81.4937	42	5.75e-21	80.9000
gb|AFH35853.1|ARO:3001328|Ecol_mdfA	79	40	39	88.9494	50	2.33e-29	103.0000
gb|CCI79240.1|ARO:3005047|eptB	79	40	39	92.0810	50	4.55e-31	109.0000
gb|QWY17602.1|ARO:3009035|RAA-1	79	43	36	81.1380	50	1.1e-26	94.7000
gb|AFK58562.1|ARO:3003078|Efac_liaR_DAP	78	44	34	83.1410	50	1.9e-26	92.4000
gb|AAC73788.1|ARO:3003841|kdpE	77	32	45	87.0779	50	1.69e-33	110.0000
gb|WP_188331877.1|ARO:3006113|OXA-928	76	40	36	99.1711	50	3.32e-31	105.0000
gb|ABR14060.1|ARO:3002838|lnuD	75	43	32	84.3627	50	3.79e-31	103.0000
gb|ADF62939.1|ARO:3000829|baeS	75	47	28	87.6693	50	5.65e-35	119.0000
gb|APB03222.1|ARO:3003992|rphB	75	38	37	81.8080	35	2.76e-12	56.2000
gb|AAC75135.2|ARO:3000792|mdtA	73	37	36	93.3904	50	1.76e-29	103.0000
gb|CAC33832.1|ARO:3000851|THIN-B	73	37	36	86.5247	50	6.58e-31	106.0000
gb|WKR28567.1|ARO:3007678|IreK	73	40	33	83.6384	50	9.32e-25	91.7000
gb|BAE78116.1|ARO:3003576|eptA	72	29	43	89.4194	50	8.85e-32	111.0000
gb|AAM15533.1|ARO:3003688|PvrR	71	30	41	82.8282	50	5.51e-26	94.4000
gb|QWW12915.1|ARO:3007203|Kpne_PhoQ_CST	71	34	37	93.0268	51	8.57e-31	108.0000
gb|AAN41427.1|ARO:3001775|OXA-119	70	31	39	98.7514	50	7.83e-37	120.0000
gb|ABV18113.1|ARO:3001329|mdtG	70	37	33	92.6714	50	1.18e-29	104.0000
gb|CAJ66820.1|ARO:3003995|Cdif_gyrA_FLO	69	42	27	81.8623	50	1.19e-26	97.1000
gb|AAB97924.1|ARO:3001411|OXA-16	68	35	33	99.3456	50	2.49e-33	111.0000
gb|AAC73565.1|ARO:3004043|Ecol_acrA	68	29	39	94.6162	50	1.47e-29	103.0000
gb|AMD83542.1|ARO:3007669|aadT	68	37	31	84.9853	50	2.09e-28	101.0000
gb|AAC76297.1|ARO:3000499|AcrE	67	37	30	91.8522	50	1.26e-30	106.0000
gb|AAA23033.2|ARO:3000190|tet(O)	66	35	31	96.9333	50	3.03e-32	112.0000
gb|AAL55262.1|ARO:3004766|CGA-1	65	34	31	83.7092	50	3.13e-26	93.6000
gb|CAA38861.1|ARO:3007423|Ecol_PBP3_BLA	65	29	36	94.2092	50	4.48e-30	106.0000
gb|ADF62940.1|ARO:3000828|baeR	63	32	31	92.0270	50	1.19e-30	103.0000
gb|ADP36409.1|ARO:3003730|Bbif_ileS_MUP	63	35	28	86.9317	50	3.02e-31	110.0000
gb|QBQ69719.1|ARO:3004720|tet(X4)	62	32	30	98.7903	50	1.66e-32	111.0000
gb|AAC74149.2|ARO:3001216|mdtH	61	30	31	92.1639	50	4.09e-31	108.0000
gb|ABR75897.1|ARO:3003373|Kpne_acrR_MULT	60	33	27	86.6150	50	1.18e-31	105.0000
gb|CAC14596.1|ARO:3003057|smeF	59	33	26	83.5847	50	2.1e-21	82.0000
gb|CAP69660.1|ARO:3001811|OXA-129	59	32	27	97.9949	50	6.13e-33	110.0000
gb|WMC40549.1|ARO:3007749|Sgal_folP_SLF	59	22	37	85.9085	50	4.7e-27	95.5000
gb|ATC67679.1|ARO:3000838|arlR	58	32	26	82.6603	33	5.42e-14	60.1000
gb|BAE06009.1|ARO:3003700|opmE	57	32	25	83.0842	50	2.4e-22	84.7000
gb|ADF48907.1|ARO:3007369|FosH	54	28	26	80.6278	50	4.75e-26	89.4000
gb|ACN85419.1|ARO:3001804|OXA-145	53	28	25	99.5642	50	4.17e-33	110.0000
gb|CDJ73205.1|ARO:3003893|Ecol_uhpA_FOF	53	30	23	95.6019	50	1.07e-31	105.0000
gb|CDO12042.1|ARO:3005053|ArnT	52	26	26	93.1788	50	8.99e-32	111.0000
gb|BAB38442.1|ARO:3004126|Ecol_LamB	51	26	25	93.4765	50	1.23e-33	115.0000
gb|WP_104671188.1|ARO:3003948|efrA	51	28	23	81.7647	50	1.11e-23	88.6000
gb|AAC73679.1|ARO:3003756|Ecol_nfsB_NIT	50	26	24	91.7720	50	3.15e-32	107.0000
gb|AAC75429.1|ARO:3000833|evgS	50	24	26	97.8100	50	3.42e-32	112.0000
gb|ADL24064.1|ARO:3003737|Saur_fusE_FA	50	27	23	82.7820	49	8.29e-25	87.4000
gb|CAC35723.1|ARO:3003374|Kaer_acrR_MULT	50	22	28	85.8840	50	3.47e-28	97.1000
gb|CDO13836.1|ARO:3005044|OmpA	50	25	25	90.3300	51	3.91e-32	110.0000
gb|WFS32678.1|ARO:3007802|RATA-2	50	24	26	92.7800	50	2.72e-31	107.0000
gb|AAC75731.1|ARO:3000516|emrR	49	28	21	95.1551	50	1.72e-34	112.0000
gb|AAF86219.1|ARO:3000375|ErmB	49	20	29	97.6714	50	3.21e-32	108.0000
gb|CAA09666.1|ARO:3004122|Kpne_OmpK37	49	24	25	86.9714	51	2.8e-32	110.0000
gb|WP_001153763.1|ARO:3007052|Hpyl_gyrA_FLO	49	28	21	84.6061	50	6.91e-28	100.0000
gb|AAC73938.1|ARO:3003751|Ecol_nfsA_NIT	48	25	23	92.1833	50	2.4e-33	110.0000
gb|AAD23513.1|ARO:3003002|CfxA2	48	23	25	99.0458	50	7.15e-31	106.0000
gb|AAP43109.1|ARO:3003922|oqxA	48	27	21	89.0292	50	1.89e-30	106.0000
gb|VWQ04090.1|ARO:3005042|mlaD	48	25	23	88.7292	50	4.38e-31	103.0000
gb|WFS34552.1|ARO:3007801|RATA-1	48	26	22	92.8229	50	9.8e-32	108.0000
gb|VWQ00850.1|ARO:3003843|leuO	46	21	25	93.6761	50	3.01e-32	109.0000
gb|WMY66391.1|ARO:3007682|MdtQ	46	23	23	92.1696	50	2.21e-31	109.0000
