seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
k141_110605	2924	No terminal repeats	NA	5	11	0.9829	NA	0	8.1568	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_774525	5431	No terminal repeats	NA	7	11	0.9829	NA	0	9.8911	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_621673	4334	No terminal repeats	NA	4	15	0.9829	NA	2	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_346271	6644	No terminal repeats	NA	9	11	0.9828	NA	3	12.4767	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_439672	11770	No terminal repeats	NA	15	11	0.9828	NA	4	20.3701	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_616638	4195	No terminal repeats	NA	3	15	0.9828	NA	2	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_511356	2521	No terminal repeats	NA	5	11	0.9828	NA	3	8.3748	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_197737	11340	No terminal repeats	NA	8	11	0.9828	NA	1	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_41488	6921	No terminal repeats	NA	5	15	0.9828	NA	2	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_683321	3093	No terminal repeats	NA	8	11	0.9827	NA	0	13.2466	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_188891	3270	No terminal repeats	NA	4	11	0.9827	NA	2	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_249522	4495	No terminal repeats	NA	6	15	0.9827	NA	1	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_969138	1760	No terminal repeats	NA	4	11	0.9827	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_801773	11322	No terminal repeats	NA	10	11	0.9827	NA	2	12.6910	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1053062	6665	No terminal repeats	NA	8	11	0.9827	NA	4	10.1154	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_861532	4966	No terminal repeats	NA	6	11	0.9827	NA	3	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_56647	5138	No terminal repeats	NA	5	11	0.9827	NA	1	8.5531	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_773502	3918	No terminal repeats	NA	4	11	0.9827	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_89381	4109	No terminal repeats	NA	5	11	0.9827	NA	1	8.4853	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_349095	5612	No terminal repeats	NA	6	11	0.9827	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_943133	6022	No terminal repeats	NA	5	15	0.9827	NA	2	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_1011882	4369	No terminal repeats	NA	9	11	0.9827	NA	0	9.8663	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_663181	15668	No terminal repeats	NA	13	11	0.9826	NA	5	13.7380	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
k141_387459	4270	No terminal repeats	NA	7	15	0.9826	NA	0	10.1333	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_427206	14805	No terminal repeats	NA	12	11	0.9826	NA	5	16.0400	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_263454	11007	No terminal repeats	NA	16	11	0.9826	NA	0	19.5468	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_536098	9396	No terminal repeats	NA	11	15	0.9826	NA	2	17.1015	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_227356	3443	No terminal repeats	NA	5	11	0.9826	NA	3	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
k141_860193	4181	No terminal repeats	NA	5	11	0.9826	NA	1	7.3113	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1025962	6261	No terminal repeats	NA	15	11	0.9825	NA	0	22.3377	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_27438	3499	No terminal repeats	NA	5	15	0.9825	NA	1	6.7157	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_896421	5037	No terminal repeats	NA	3	11	0.9825	NA	2	4.6383	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_57891	4898	No terminal repeats	NA	4	11	0.9825	NA	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_166022	5046	No terminal repeats	NA	9	11	0.9825	NA	3	11.0488	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_267209	3933	No terminal repeats	NA	7	11	0.9825	NA	0	8.2491	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_903616	11546	No terminal repeats	NA	14	11	0.9825	NA	4	23.1265	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_666219	3831	No terminal repeats	NA	5	11	0.9825	NA	2	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_388700	5866	No terminal repeats	NA	10	11	0.9825	NA	3	10.9471	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_790746	7056	No terminal repeats	NA	7	15	0.9825	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_981544	13979	No terminal repeats	NA	18	11	0.9825	NA	4	27.4925	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_416459	2093	No terminal repeats	NA	5	11	0.9825	NA	3	8.3026	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Naomviridae
k141_269926	7828	No terminal repeats	NA	7	11	0.9825	NA	2	8.5356	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_96270	4239	No terminal repeats	NA	5	11	0.9825	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_40227	4773	No terminal repeats	NA	5	11	0.9824	NA	2	8.3532	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_246412	3030	No terminal repeats	NA	4	11	0.9824	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Zobellviridae
k141_760135	4783	No terminal repeats	NA	7	15	0.9824	NA	3	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_266727	5525	No terminal repeats	NA	9	11	0.9824	NA	1	13.5519	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_817949	3323	No terminal repeats	NA	6	11	0.9824	NA	1	9.6814	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_409393	10364	No terminal repeats	NA	12	15	0.9824	NA	3	16.6082	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_789516	4164	No terminal repeats	NA	4	11	0.9824	NA	1	6.6090	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_1025195	3825	No terminal repeats	NA	5	11	0.9824	NA	2	6.8724	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_672953	5908	No terminal repeats	NA	4	11	0.9824	NA	3	6.0950	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_516362	24025	No terminal repeats	NA	28	11	0.9824	NA	3	28.0788	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_8503	13030	No terminal repeats	NA	13	11	0.9824	NA	3	11.9959	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_34093	5028	No terminal repeats	NA	5	11	0.9824	NA	2	7.9642	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_204394	9070	No terminal repeats	NA	9	11	0.9824	NA	1	12.0273	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_945477	5527	DTR	NA	8	11	0.9824	NA	2	10.3097	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
k141_198348	10279	No terminal repeats	NA	14	11	0.9824	NA	3	16.4833	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_630740	6844	No terminal repeats	NA	9	11	0.9824	NA	1	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_205388	6061	No terminal repeats	NA	4	11	0.9824	NA	2	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_82314	6337	No terminal repeats	NA	7	11	0.9824	NA	5	10.6061	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_547168	8785	No terminal repeats	NA	8	15	0.9824	NA	4	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_427938	4789	No terminal repeats	NA	5	11	0.9823	NA	4	7.6898	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_520321	3726	No terminal repeats	NA	5	11	0.9823	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_423345	5324	No terminal repeats	NA	5	11	0.9823	NA	0	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_971800	7783	No terminal repeats	NA	9	11	0.9823	NA	2	11.9537	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_542849	2621	No terminal repeats	NA	4	11	0.9823	NA	1	6.4256	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_83663	5500	No terminal repeats	NA	8	11	0.9823	NA	4	9.5474	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_959842	16776	No terminal repeats	NA	14	11	0.9823	NA	3	20.1332	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_2164	17084	No terminal repeats	NA	17	11	0.9823	NA	7	25.4675	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_771010	11449	No terminal repeats	NA	25	11	0.9823	NA	0	32.1642	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_428701	13082	No terminal repeats	NA	16	11	0.9823	NA	6	26.6143	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_530307	5399	No terminal repeats	NA	4	15	0.9823	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_933580	4736	No terminal repeats	NA	7	11	0.9823	NA	3	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_443012	5391	No terminal repeats	NA	13	11	0.9823	NA	9	17.3685	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_533660	3189	No terminal repeats	NA	5	11	0.9823	NA	0	7.9122	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_827012	6227	No terminal repeats	NA	9	11	0.9823	NA	6	12.4402	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_775950	6208	No terminal repeats	NA	3	15	0.9822	NA	2	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_88561	4310	No terminal repeats	NA	8	11	0.9822	NA	2	7.9914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_83290	6634	No terminal repeats	NA	10	11	0.9822	NA	2	10.2812	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_399713	45273	No terminal repeats	NA	24	11	0.9822	NA	4	34.3114	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_302853	9269	No terminal repeats	NA	9	11	0.9822	NA	1	13.6840	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_929654	5650	No terminal repeats	NA	5	11	0.9822	NA	3	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_348602	5242	No terminal repeats	NA	7	11	0.9822	NA	2	8.0505	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_975344	4251	No terminal repeats	NA	6	11	0.9822	NA	1	7.6468	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_702204	4582	No terminal repeats	NA	9	11	0.9822	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_772756	4019	No terminal repeats	NA	6	11	0.9822	NA	5	10.0430	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_580234	5368	No terminal repeats	NA	7	11	0.9822	NA	0	8.0252	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_316850	6071	No terminal repeats	NA	8	15	0.9822	NA	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_350498	2824	No terminal repeats	NA	4	11	0.9821	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_821715	6643	No terminal repeats	NA	4	15	0.9821	NA	0	6.5857	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_775588	4075	No terminal repeats	NA	5	15	0.9821	NA	2	6.5002	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_516340	7746	No terminal repeats	NA	10	11	0.9821	NA	5	12.9000	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_76956	10120	No terminal repeats	NA	12	11	0.9821	NA	0	18.9011	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_896249	4475	No terminal repeats	NA	3	11	0.9821	NA	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_162347	3596	No terminal repeats	NA	7	11	0.9821	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_381983	2925	No terminal repeats	NA	5	11	0.9821	NA	0	6.6805	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_658991	3016	No terminal repeats	NA	5	11	0.9821	NA	1	6.2348	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Naomviridae
k141_752057	1761	No terminal repeats	NA	3	11	0.9821	NA	3	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
k141_721452	3057	No terminal repeats	NA	6	11	0.9821	NA	4	8.5755	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_144476	9625	No terminal repeats	NA	13	11	0.9821	NA	3	11.7375	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_143598	3157	No terminal repeats	NA	3	15	0.9821	NA	2	5.1483	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_690202	10786	No terminal repeats	NA	11	15	0.9821	NA	1	14.7928	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_470112	5331	No terminal repeats	NA	3	15	0.9821	NA	0	4.9592	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_579676	5056	No terminal repeats	NA	9	11	0.9821	NA	4	13.5403	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_338092	3469	No terminal repeats	NA	3	11	0.9821	NA	3	4.9483	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_807758	3288	No terminal repeats	NA	5	11	0.9820	NA	1	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_687448	7459	No terminal repeats	NA	3	11	0.9820	NA	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_419209	6125	No terminal repeats	NA	4	11	0.9820	NA	0	6.6325	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_743935	13917	No terminal repeats	NA	11	11	0.9820	NA	2	14.3130	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_381024	1153	No terminal repeats	NA	3	11	0.9820	NA	2	5.1485	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_683124	9307	No terminal repeats	NA	10	11	0.9820	NA	2	11.7408	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_593545	6670	No terminal repeats	NA	8	4	0.9820	NA	1	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_699912	6885	No terminal repeats	NA	4	11	0.9820	NA	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_999693	7424	No terminal repeats	NA	12	11	0.9820	NA	8	15.0531	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_257885	4867	No terminal repeats	NA	12	11	0.9820	NA	0	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_136468	8131	No terminal repeats	NA	8	11	0.9820	NA	0	11.8194	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
k141_202397	3918	No terminal repeats	NA	4	15	0.9819	NA	0	4.9325	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Suoliviridae
k141_35923	4692	No terminal repeats	NA	7	11	0.9819	NA	1	9.7093	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
k141_48101	6894	No terminal repeats	NA	10	11	0.9819	NA	0	10.2046	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;
