card_subject_id	total_read_hits	R1_read_hits	R2_read_hits	mean_percent_identity	maximum_alignment_length	minimum_evalue	maximum_bitscore
gb|AGG29535.1|ARO:3003306|Mmor_gyrB_FLO	683	319	364	83.8824	51	3.88e-28	101.0000
gb|AAL82403.1|ARO:3003297|Bbac_gyrA_FLO	656	329	327	82.7875	51	7.82e-29	103.0000
gb|BAA11086.1|ARO:3003314|Saur_parE_AMU	642	322	320	84.5121	50	1.44e-25	94.0000
gb|BAD59497.1|ARO:3000501|rpoB2	540	240	300	83.8748	50	4.12e-31	109.0000
gb|NP_216146.1|ARO:3004721|Mtub_rpsA_PZA	501	255	246	89.4429	51	7.88e-30	105.0000
gb|AAG07064.1|ARO:3003693|MexK	495	243	252	86.0556	50	2.22e-26	96.3000
gb|AAW89357.1|ARO:3003928|Ngon_gyrA_FLO	469	230	239	83.7032	50	5.29e-28	100.0000
gb|CAG39033.1|ARO:3003301|Saur_gyrB_AMU	468	237	231	83.1577	50	5.86e-29	103.0000
gb|AAC76298.1|ARO:3000502|AcrF	462	223	239	83.8963	50	6.04e-24	89.4000
gb|AAG08352.1|ARO:3003685|Paer_parE_FLO	453	238	215	85.3340	51	4.25e-29	103.0000
gb|WP_000819088.1|ARO:3003296|Saur_gyrA_FLO	447	228	219	82.7215	50	1.52e-28	102.0000
gb|WP_001182024.1|ARO:3007053|Hpyl_gyrB_FLO	442	201	241	82.5577	50	3.03e-26	95.9000
gb|NP_217299.1|ARO:3004977|Mtub_gpsI_PZA	406	205	201	87.3527	58	9.24e-30	105.0000
gb|AAA88675.1|ARO:3000498|ErmF	381	198	183	97.3730	50	9.34e-32	107.0000
gb|ADZ12699.1|ARO:3005091|RanA	378	185	193	82.3899	50	8.95e-27	94.4000
gb|AAA74437.1|ARO:3000378|MexB	357	188	169	84.4507	50	1.27e-24	91.3000
gb|NP_215181.1|ARO:3003283|Mtub_rpoB_RIF	351	178	173	84.2333	50	1.43e-30	108.0000
gb|VEH83056.1|ARO:3007544|Erhu_gyrA_ENR	351	174	177	82.6504	50	5.99e-29	103.0000
gb|CBW16027.1|ARO:3003924|Hpin_gyrA_FLO	318	168	150	84.1808	50	1.95e-30	107.0000
gb|AJF82744.1|ARO:3003817|Abau_gyrA_FLO	298	139	159	83.5765	51	4.97e-30	106.0000
gb|AAC75089.1|ARO:3003577|ugd	285	149	136	83.6084	50	3.55e-30	105.0000
gb|CAJ77856.1|ARO:3000777|adeF	278	147	131	86.0540	50	3.42e-27	98.6000
gb|AAL21173.1|ARO:3003926|Sent_gyrA_FLO	270	135	135	83.4326	50	9.25e-30	105.0000
gb|CAC29514.1|ARO:3003298|Mlep_gyrA_FLO	270	137	133	82.7559	50	6.36e-32	112.0000
gb|NP_214519.2|ARO:3003459|Mtub_gyrB_FLO	253	125	128	85.6399	51	8.1e-29	103.0000
gb|CAL35145.1|ARO:3003789|Cjej_gyrA_FLO	246	131	115	82.3638	50	1.05e-25	94.4000
gb|NP_217974.1|ARO:3004999|Mtub_rpoA_RIF	243	118	125	85.4942	50	1.12e-29	103.0000
gb|AAW89918.1|ARO:3003929|Ngon_parC_FLO	240	114	126	82.7050	50	3.43e-27	98.6000
gb|AER05434.1|ARO:3003974|Cacn_gyrA_FLO	240	123	117	83.8746	50	2.08e-33	116.0000
gb|AAL22694.1|ARO:3003307|Sser_gyrB_FLO	228	124	104	84.9351	50	5.29e-28	100.0000
gb|CAJ66820.1|ARO:3003995|Cdif_gyrA_FLO	227	119	108	82.4172	50	1.52e-28	102.0000
gb|NP_217497.1|ARO:3004941|Mtub_ddlA_DCS	224	108	116	84.6357	50	4.24e-29	102.0000
gb|BAA37152.1|ARO:3003702|Paer_ParC_FLO	207	105	102	85.8618	50	1.82e-32	113.0000
gb|AAC75136.1|ARO:3000793|mdtB	205	109	96	83.9034	50	1.27e-24	91.3000
gb|AAG05915.1|ARO:3004074|MuxB	201	85	116	83.6522	50	1.27e-24	91.3000
gb|AAC74177.1|ARO:3004049|Ecol_fabG_TRC	200	102	98	82.6335	50	2.95e-25	90.1000
gb|AAC75291.1|ARO:3003294|Ecol_gyrA_FLO	186	98	88	83.7720	50	3.64e-30	107.0000
gb|ABG65740.1|ARO:3002879|linG	186	97	89	88.9586	50	3.5e-33	111.0000
gb|NP_214520.1|ARO:3003295|Mtub_gyrA_FLO	186	95	91	84.9597	50	1.05e-30	108.0000
gb|WP_001153763.1|ARO:3007052|Hpyl_gyrA_FLO	185	94	91	83.1935	50	2.12e-26	96.3000
gb|ABK64957.1|ARO:3007473|Mavi_gyrA_FLO	171	93	78	86.8316	50	2.89e-31	110.0000
gb|AAF42062.1|ARO:3000811|mtrD	164	88	76	83.2134	50	6.82e-25	92.0000
gb|AAL73129.1|ARO:3000616|mel	160	79	81	93.4944	50	7.93e-29	102.0000
gb|CDO61516.1|ARO:3003949|efrB	148	75	73	81.6486	50	2.78e-22	84.0000
gb|AAX14802.1|ARO:3000781|adeJ	145	68	77	85.1359	50	1.62e-26	96.7000
gb|CAC14596.1|ARO:3003057|smeF	143	67	76	82.2476	48	2.35e-19	76.3000
gb|WP_051021433.1|ARO:3004600|LnuH	143	70	73	85.8979	50	4.59e-31	105.0000
gb|WP_003690088.1|ARO:3004956|Ngon_rpld	137	69	68	82.8766	50	1.39e-28	97.8000
gb|AAO38247.1|ARO:3000361|EreA	136	67	69	98.0346	50	1.15e-30	107.0000
gb|CAH35802.1|ARO:3002983|amrB	134	69	65	83.5313	50	3.32e-22	84.3000
gb|AIL15701.1|ARO:3003775|Ecol_murA_FOF	133	65	68	82.5586	50	6.68e-28	99.8000
gb|AAC74370.1|ARO:3004045|Ecol_fabI_MULT	132	62	70	82.2356	50	1.04e-25	91.7000
gb|AAB58161.1|ARO:3003010|ceoB	127	60	67	85.2031	50	1.19e-26	97.1000
gb|AAL19305.1|ARO:3000790|mdsB	125	59	66	82.2136	50	2.68e-25	93.2000
gb|BAE77086.1|ARO:3003316|Ecol_parE_FLO	120	50	70	84.2100	50	3.79e-28	101.0000
gb|AAC75137.1|ARO:3000794|mdtC	119	65	54	82.6807	50	9.86e-28	100.0000
gb|BAA16344.1|ARO:3000491|acrD	118	60	58	86.0407	50	3.71e-28	101.0000
gb|AAN82549.1|ARO:3003369|Ecol_EFTu_PLV	117	57	60	86.2863	50	2.78e-23	87.0000
gb|AAG05882.1|ARO:3000804|MexF	113	57	56	86.5088	50	1.09e-26	97.1000
gb|ADP36409.1|ARO:3003730|Bbif_ileS_MUP	110	52	58	83.3445	50	2.88e-31	110.0000
gb|AAC76055.1|ARO:3003308|Ecol_parC_FLO	108	58	50	85.4407	50	1.82e-32	113.0000
gb|AAD51348.1|ARO:3003066|smeR	108	51	57	83.6426	50	1.12e-25	90.9000
gb|AAC60780.1|ARO:3003049|rosB	103	52	51	83.1369	50	1.7e-24	90.9000
gb|AAV85982.1|ARO:3000535|macB	101	46	55	82.9099	50	1.65e-21	82.4000
gb|ACJ63262.1|ARO:3003107|mef(B)	100	48	52	91.5510	50	4.45e-30	105.0000
gb|AAC76209.2|ARO:3003386|Ecol_folP_SLF	99	54	45	84.4980	35	1.92e-16	67.4000
gb|UKC75978.1|ARO:3008474|OXA-1056	99	51	48	90.5091	50	1.62e-34	114.0000
gb|ABR14060.1|ARO:3002838|lnuD	95	43	52	84.8200	50	3.79e-31	103.0000
gb|APB03218.1|ARO:3003984|BahA	95	52	43	82.5063	51	1.19e-26	97.1000
gb|AAK07612.2|ARO:3000604|Erm(35)	92	47	45	84.6717	50	1.34e-27	96.7000
gb|CAA10975.1|ARO:3000194|tet(W)	92	48	44	99.3859	50	1.99e-31	110.0000
gb|AAL97684.1|ARO:3003387|Spyo_folP_SLF	91	47	44	91.5758	50	2.2e-25	90.9000
gb|AAG05914.1|ARO:3004075|MuxC	89	44	45	82.7315	50	1.13e-23	88.6000
gb|AAC16242.1|ARO:3005069|rsmA	87	40	47	88.0586	50	1.12e-27	91.3000
gb|ADT70779.1|ARO:3001805|OXA-198	85	43	42	89.8141	50	3.73e-30	103.0000
gb|ADZ12700.1|ARO:3005090|RanB	84	38	46	81.7679	50	9.62e-25	89.0000
gb|ACB05808.1|ARO:3003109|msrE	81	44	37	95.6630	50	8.73e-31	108.0000
gb|BAA34300.1|ARO:3003033|mexY	81	50	31	82.8099	50	1.3e-22	85.5000
gb|EGP45231.1|ARO:3004144|AxyY	81	39	42	82.1222	50	3.47e-22	84.3000
gb|AAL05553.1|ARO:3003206|lsaE	80	39	41	92.8925	51	9.57e-33	113.0000
gb|CAC29513.1|ARO:3003304|Mlep_gyrB_FLO	79	43	36	85.8722	50	8.11e-29	103.0000
gb|AAG07594.1|ARO:3000808|MexI	74	36	38	82.3270	50	5.35e-23	86.7000
gb|CAD91132.1|ARO:3002839|lnuF	73	37	36	91.6397	51	3.17e-34	114.0000
gb|AAC37034.1|ARO:3000522|ErmG	72	35	37	98.9944	50	5.25e-33	110.0000
gb|AAG07763.1|ARO:3003031|MexW	71	31	40	83.2451	50	2.37e-24	90.5000
gb|AAG06942.1|ARO:3002985|arnA	69	34	35	82.7029	50	8.07e-29	103.0000
gb|AAP43110.2|ARO:3003923|oqxB	69	39	30	83.4551	50	1.19e-26	97.1000
gb|WP_041918279.1|ARO:3003925|Hpin_parC_FLO	67	35	32	86.6896	50	2.2e-31	110.0000
gb|AAC73788.1|ARO:3003841|kdpE	66	28	38	82.8288	50	8.92e-27	93.6000
gb|ADL24064.1|ARO:3003737|Saur_fusE_FA	66	35	31	83.1076	35	1.09e-15	63.9000
gb|NP_214921.1|ARO:3007849|Mtub_fgd1_DLM	66	33	33	84.2106	50	1e-28	100.0000
gb|ADF62940.1|ARO:3000828|baeR	65	35	30	82.3000	50	4.51e-27	94.7000
gb|AAA86871.1|ARO:3002841|vatB	59	30	29	85.4153	50	5.35e-32	106.0000
gb|AAC74000.1|ARO:3003950|msbA	58	27	31	82.9052	50	2.53e-22	84.7000
gb|NP_215831.1|ARO:3003784|Mtub_murA_FOF	57	29	28	89.6474	50	1.3e-29	104.0000
gb|AAC09015.1|ARO:3002481|AER-1	55	27	28	91.5400	50	1.93e-31	107.0000
gb|AEY83581.1|ARO:3000510|Saur_mupB_MUP	55	29	26	83.5236	50	6.38e-27	97.8000
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	53	29	24	97.0189	50	2.13e-32	108.0000
gb|AAZ42322.1|ARO:3005098|qacL	51	21	30	94.2608	50	6.96e-31	100.0000
gb|AIU22003.1|ARO:3003778|Msme_ndh_INH	51	21	30	84.6255	50	1.72e-28	101.0000
gb|CAA27626.1|ARO:3000363|EreB	51	25	26	87.2196	50	1.83e-30	106.0000
gb|WP_000202252.1|ARO:3003818|Abau_parC_FLO	51	19	32	87.6176	50	6.33e-32	112.0000
gb|CAG27800.1|ARO:3003203|TLA-2	49	24	25	87.1041	50	2.72e-31	107.0000
gb|NP_218310.1|ARO:3003327|Mtub_embC_EMB	46	20	26	87.7848	50	8.69e-32	111.0000
gb|AAD51345.1|ARO:3003052|smeB	45	25	20	83.9111	50	9.13e-23	85.9000
gb|AAB41956.1|ARO:3000800|MexC	44	25	19	85.4000	48	2.36e-22	84.3000
gb|AAB41957.1|ARO:3000801|MexD	44	23	21	84.0205	50	1.66e-24	90.9000
gb|NP_217296.1|ARO:3004945|Mtub_ald_DCS	44	23	21	84.2886	50	3.1e-26	94.7000
gb|P24734.3|ARO:3007491|Paer_ampR_ATM	43	27	16	84.2163	50	2.51e-25	91.3000
gb|QKE44141.1|ARO:3007033|Erm(51)	43	21	22	97.4512	50	3.24e-35	116.0000
gb|AAS13767.1|ARO:3003839|Mrx	42	22	20	91.7190	50	6.21e-27	97.1000
gb|AAC76093.1|ARO:3002986|bacA	41	21	20	84.3073	50	1.81e-29	101.0000
gb|AAC78336.1|ARO:3002826|EreA2	41	18	23	93.4317	51	4.41e-30	105.0000
gb|NP_215000.1|ARO:3004925|Mtub_mshA_INH	41	19	22	84.8707	50	2.97e-30	106.0000
gb|BAE06008.1|ARO:3003699|mexQ	40	18	22	82.0800	50	5.12e-23	86.7000
gb|NP_218312.1|ARO:3003326|Mtub_embB_EMB	40	21	19	85.6750	50	1.43e-30	108.0000
gb|WP_148044424.1|ARO:3006964|PAU-1	40	19	21	97.2650	50	3.13e-31	106.0000
gb|AAL22048.1|ARO:3003939|Sent_parC_FLO	39	25	14	84.7231	50	1.12e-28	102.0000
gb|WP_188331877.1|ARO:3006113|OXA-928	39	17	22	98.3769	50	1.19e-31	107.0000
gb|AAA23033.2|ARO:3000190|tet(O)	38	18	20	97.3842	50	2.31e-32	113.0000
gb|AAG24866.1|ARO:3001430|OXA-36	38	21	17	97.2421	50	4.38e-35	115.0000
gb|AKR18029.1|ARO:3004352|PDC-89	38	16	22	85.3868	20	2.72e-06	39.3000
gb|APB03222.1|ARO:3003992|rphB	38	20	18	84.6737	50	2.22e-26	96.3000
gb|NP_216370.1|ARO:3003461|Mtub_ndh_INH	38	19	19	83.9921	50	6.18e-27	97.4000
gb|ACJ63260.1|ARO:3000413|sul3	37	20	17	86.9324	50	2.46e-31	106.0000
gb|AEJ33969.1|ARO:3000410|sul1	37	19	18	99.3297	50	6.12e-32	108.0000
gb|NP_216963.1|ARO:3004157|Mtub_folC_PAS	37	19	18	84.8027	50	3.38e-26	95.5000
gb|NP_388014.1|ARO:3007527|Bsub_rpsE_SPT	37	18	19	81.6297	50	3.39e-24	85.5000
gb|BAM10414.1|ARO:3003039|OprA	36	22	14	83.7444	44	1.89e-17	70.9000
gb|CCP45647.1|ARO:3003955|efpA	36	19	17	87.2806	50	3.01e-27	98.6000
gb|NP_215999.1|ARO:3004922|Mtub_fabG1_INH	36	19	17	85.5500	50	5.17e-27	94.7000
gb|YP_177687.1|ARO:3004960|Mtub_ponA1_RFB	36	18	18	83.1167	50	2.68e-25	93.2000
gb|AAB97924.1|ARO:3001411|OXA-16	35	18	17	99.0229	50	1.76e-33	111.0000
gb|AAL22055.1|ARO:3003317|Sser_parE_FLO	35	16	19	83.0257	50	3.23e-27	98.6000
gb|BAL43360.1|ARO:3003745|mef(C)	35	17	18	89.6743	50	8.44e-29	102.0000
gb|CBH51823.1|ARO:3000556|tet(44)	35	18	17	96.4914	50	1.37e-30	108.0000
gb|NP_216000.1|ARO:3003393|Mtub_inhA_INH	35	19	16	89.4914	50	1.3e-28	99.4000
gb|AAC66824.2|ARO:3003777|Bbur_mur_FOF	34	16	18	81.6147	50	1.6e-23	87.8000
gb|AAC76539.1|ARO:3000796|mdtF	34	17	17	81.9294	50	8.46e-22	83.2000
gb|AIA08936.1|ARO:3000444|rphA	34	15	19	85.9441	48	3.24e-24	90.1000
gb|CAB41414.1|ARO:3002836|lnuB	34	17	17	99.0794	50	3.41e-32	108.0000
gb|NP_216761.1|ARO:3003463|Mtub_kasA_INH	34	20	14	87.6765	50	1.66e-27	98.6000
gb|NP_217051.1|ARO:3007692|Mtub_Rv2535_BDQ	34	12	22	83.2676	50	1.62e-25	92.8000
gb|WGF22896.1|ARO:3007648|PSZ-1	34	22	12	82.1059	35	2.06e-16	67.8000
gb|AAB41958.1|ARO:3000802|OprJ	32	14	18	82.8250	50	5.31e-24	89.4000
gb|AAL14440.1|ARO:3000775|adeB	32	16	16	83.3500	50	4.74e-22	84.0000
gb|VWQ04088.1|ARO:3005041|mlaF	32	11	21	82.3469	50	5.95e-26	92.4000
gb|CAA71699.2|ARO:3001416|OXA-21	31	12	19	93.9258	50	4.21e-35	116.0000
gb|NP_218311.1|ARO:3003453|Mtub_embA_EMB	31	16	15	84.6581	50	1.84e-27	99.4000
gb|AAL59753.1|ARO:3000412|sul2	30	15	15	89.0867	50	2.99e-26	93.2000
gb|CAA52296.1|ARO:3003729|Saur_ileS_MUP	30	13	17	81.7733	50	3.71e-28	101.0000
gb|CAA64891.1|ARO:3000812|mtrE	30	14	16	81.7567	46	3.16e-16	67.4000
gb|AAG08162.1|ARO:3003582|basR	29	14	15	83.8517	45	2.83e-20	76.6000
gb|ABS43151.1|ARO:3000784|cmeB	29	11	18	82.4345	50	7.85e-21	80.5000
gb|CAA79727.1|ARO:3000191|tet(Q)	28	14	14	94.6071	50	1.9e-30	107.0000
gb|ABI20451.1|ARO:3003741|mphE	27	13	14	99.8519	50	1.15e-31	107.0000
gb|KAE9504908.1|ARO:3004873|Ngon_folP_SLF	27	15	12	80.6593	21	7.34e-07	40.8000
gb|WP_102607457.1|ARO:3004361|sul4	27	9	18	87.4741	50	3.94e-31	106.0000
gb|AAC60781.1|ARO:3003048|rosA	26	15	11	84.7077	50	1.15e-25	93.6000
gb|ADV91011.1|ARO:3000245|RbpA	26	14	12	94.1192	50	2.11e-35	112.0000
gb|BAE77933.1|ARO:3000518|CRP	26	16	10	86.8423	50	3.82e-29	99.4000
gb|CAH14033.1|ARO:3004100|LpeB	26	17	9	82.4385	50	4.21e-21	81.3000
gb|SIP52035.1|ARO:3004054|Paer_CpxR	26	13	13	82.5308	42	1.34e-17	69.7000
gb|AAB17902.2|ARO:3003970|ddl	25	16	9	82.1840	25	1.44e-09	48.5000
gb|AAL19304.1|ARO:3000791|mdsC	25	10	15	82.2840	50	8.38e-19	74.7000
gb|NP_216559.1|ARO:3003394|Mtub_pncA_PZA	25	12	13	84.4160	30	8.14e-11	51.2000
gb|AAA26830.1|ARO:3007127|otr(A)S.liv	23	10	13	82.6304	43	2.43e-19	76.3000
gb|AAA27471.1|ARO:3000205|tet(X)	23	11	12	99.6522	50	2.42e-32	111.0000
gb|BAA03776.1|ARO:3000316|mphA	23	11	12	90.1783	50	1.01e-34	115.0000
gb|BAL43359.1|ARO:3003742|mphG	23	13	10	86.8913	50	1.48e-32	110.0000
gb|NP_218323.1|ARO:3004950|Mtub_ubiA_EMB	22	10	12	83.6591	50	1.65e-28	99.8000
gb|ATC67679.1|ARO:3000838|arlR	20	11	9	80.6100	33	5.66e-14	60.1000
gb|AAA98406.1|ARO:3001404|OXA-9	19	9	10	93.5158	50	3.93e-32	108.0000
gb|CAD55718.1|ARO:3000197|tet(36)	19	11	8	91.1842	50	4.58e-30	106.0000
gb|AAC73565.1|ARO:3004043|Ecol_acrA	18	9	9	83.7389	50	1.42e-27	98.6000
gb|ABA71727.1|ARO:3002926|vanR_in_vanG_cl	18	10	8	84.7111	50	3.91e-27	94.7000
gb|CAA53189.1|ARO:3000521|Saur_mupA_MUP	18	8	10	84.4556	50	1.19e-26	97.1000
gb|NP_216646.1|ARO:3004927|Mtub_mshC_INH	18	8	10	84.9500	50	4.66e-31	108.0000
gb|NP_217685.1|ARO:3004993|Mtub_Rv3169_PZA	18	9	9	84.5000	50	2.91e-31	108.0000
gb|AAG33665.1|ARO:3001431|OXA-37	17	10	7	84.1412	50	1.13e-29	102.0000
gb|ABC24999.1|ARO:3007476|Mabs_atpE_BDQ	17	5	12	92.1176	50	7.04e-28	92.4000
gb|AVM85875.1|ARO:3004698|MCR-5.2	17	9	8	90.8706	50	2.45e-32	112.0000
gb|BAE85478.1|ARO:3003728|vanR_in_vanI_cl	17	8	9	84.1588	50	3.47e-28	97.4000
gb|CAG40364.1|ARO:3003315|Saur_parE_FLO	17	8	9	84.2059	45	6.38e-20	77.8000
gb|CCA59315.1|ARO:3007208|HelR	17	9	8	83.4118	50	3.66e-25	92.8000
gb|EHL92831.1|ARO:3004588|Kpne_KpnG	17	12	5	81.6471	50	6.99e-25	91.3000
gb|NP_214857.1|ARO:3003451|Mtub_iniC_EMB	17	9	8	83.0353	50	3.48e-23	87.0000
gb|WMC40549.1|ARO:3007749|Sgal_folP_SLF	17	10	7	80.9882	30	1.6e-11	53.9000
gb|AAD25538.1|ARO:3000174|tet(G)	16	7	9	91.9812	50	5.21e-28	99.8000
gb|MBY8651252.1|ARO:3007190|vanX_in_vanP_cl	16	7	9	83.5188	25	9.34e-12	53.9000
gb|NP_217456.1|ARO:3004978|Mtub_mas_PZA	16	9	7	82.5375	50	1.05e-25	94.4000
gb|NP_358351.1|ARO:3003311|Spne_parC_FLO	16	9	7	84.2687	50	2.22e-26	96.3000
gb|AAK15582.1|ARO:3001428|OXA-34	15	7	8	99.4000	50	9.85e-33	109.0000
gb|BBJ25230.1|ARO:3007032|Erm(50)	15	6	9	88.0933	50	2.11e-29	101.0000
gb|CAA03986.1|ARO:3000343|tap	15	10	5	84.6733	50	8.22e-26	94.0000
gb|AAB52541.1|ARO:3004833|Ngon_PBP1_BLA	14	9	5	81.9929	50	1.74e-24	90.9000
gb|AAC44316.1|ARO:3005010|qacEdelta1	13	5	8	92.5308	50	1.62e-30	100.0000
gb|AAC75733.1|ARO:3000074|emrB	13	5	8	84.0077	50	6.8e-31	108.0000
gb|AEP40503.1|ARO:3002929|vanR_in_vanN_cl	13	6	7	83.7769	33	4.56e-14	60.5000
gb|AKJ52802.1|ARO:3003310|Mhom_23S_FLO	13	9	4	81.4462	50	9.32e-25	91.7000
gb|NP_217247.1|ARO:3004987|Mtub_Rv2731_PZA	13	5	8	81.9846	50	7.58e-26	94.4000
gb|ULU82660.1|ARO:3008503|OXA-1085	13	6	7	92.4077	49	4.99e-32	108.0000
gb|AAF01499.1|ARO:3000193|tet(T)	12	3	9	83.2083	50	2.3e-29	104.0000
gb|NP_216425.2|ARO:3004923|Mtub_furA_INH	12	8	4	87.4917	50	1.52e-29	98.6000
gb|AAA27459.1|ARO:3004683|aadS	11	5	6	94.8182	50	3.61e-32	108.0000
gb|AAC71220.1|ARO:3004631|Mgen_gyrA_FLO	11	5	6	83.0091	50	2.37e-24	90.5000
gb|AAL36430.1|ARO:3004692|aadA10	11	5	6	98.3273	50	6.44e-31	105.0000
gb|AFK80745.1|ARO:3002350|GES-21	11	6	5	99.8182	50	3.61e-32	108.0000
gb|AFP97030.1|ARO:3001797|OXA-46	11	6	5	98.9091	50	1.56e-36	119.0000
gb|APB03214.1|ARO:3003980|tetA(58)	11	5	6	84.4091	49	3.91e-26	94.0000
gb|AWB15813.1|ARO:3005096|GPC-1	11	6	5	92.8727	50	7.17e-30	103.0000
gb|CAA40146.1|ARO:3002997|LCR-1	11	5	6	95.0727	50	2.66e-33	111.0000
gb|WP_010891786.1|ARO:3003309|Uure_parC_FLO	11	4	7	80.7727	50	2.68e-25	93.2000
gb|AAA24786.1|ARO:3000368|vanC	10	5	5	85.9900	23	4.56e-08	44.3000
gb|AAC76297.1|ARO:3000499|AcrE	10	5	5	81.7400	50	2.24e-21	81.6000
gb|ABA71726.1|ARO:3004253|vanU_in_vanG_cl	10	5	5	87.4900	25	2.61e-08	42.7000
gb|ADM92605.1|ARO:3000553|adeR	10	4	6	83.7000	47	1.36e-22	83.2000
gb|ALV80601.1|ARO:3003801|bcr-1	10	4	6	83.6600	27	3.34e-08	44.7000
gb|CAJ32491.1|ARO:3002622|aadA6/aadA10	10	5	5	97.1600	50	7.54e-33	110.0000
gb|CDJ72759.1|ARO:3003899|Ecol_PtsI_FOF	10	5	5	85.0500	50	6.46e-28	100.0000
gb|NP_216210.1|ARO:3003445|Mtub_tlyA_AMG	10	5	5	83.6700	50	3.63e-23	85.1000
gb|NP_217715.1|ARO:3004931|Mtub_nudC_INH	10	5	5	84.6200	50	1.01e-27	97.8000
gb|AAL19308.1|ARO:3000504|golS	9	3	6	84.6000	50	2.88e-26	90.5000
gb|AID67109.1|ARO:3001495|OXA-233	9	5	4	100.0000	50	4.7e-32	108.0000
gb|CAA30246.1|ARO:3001397|OXA-2	9	5	4	99.5556	50	4.01e-32	108.0000
gb|NP_215192.1|ARO:3007674|Mtub_Rv0678_BDQ	9	6	3	84.8667	50	7.59e-26	89.7000
gb|AAC75314.1|ARO:3003578|PmrF	8	3	5	82.5375	49	3.74e-23	85.9000
gb|AAF63432.1|ARO:3003744|vatF	8	4	4	85.6250	50	4.89e-32	107.0000
gb|AAF86641.1|ARO:3002922|vanR_in_vanC_cl	8	5	3	84.4125	47	9.06e-25	88.6000
