seq_name	chromosome_score	plasmid_score	virus_score
k141_92556	0.8441	0.0894	0.0665
k141_46322	0.1203	0.5992	0.2804
k141_72	0.5274	0.3996	0.0729
k141_323804	0.2356	0.5799	0.1845
k141_231328	0.6406	0.2015	0.1579
k141_138847	0.1367	0.2039	0.6595
k141_185084	0.9217	0.0538	0.0245
k141_74	0.1853	0.2344	0.5803
k141_231329	0.1263	0.6279	0.2458
k141_75	0.2963	0.3012	0.4025
k141_138851	0.2801	0.4120	0.3079
k141_323812	0.1332	0.6857	0.1811
k141_79	0.7203	0.1814	0.0983
k141_185086	0.6213	0.3239	0.0547
k141_92568	0.8715	0.0994	0.0291
k141_231333	0.7594	0.1908	0.0497
k141_82	0.4888	0.3910	0.1202
k141_231334	0.9077	0.0636	0.0287
k141_323817	0.4255	0.3889	0.1856
k141_185093	0.8272	0.1338	0.0389
k141_231335	0.9202	0.0564	0.0233
k141_138871	0.9660	0.0248	0.0092
k141_46342	0.9581	0.0310	0.0109
k141_185095	0.6603	0.2265	0.1131
k141_89	0.8404	0.0891	0.0704
k141_138872	0.5761	0.3871	0.0368
k141_323827	0.4773	0.3071	0.2156
k141_46348	0.8426	0.1168	0.0406
k141_92589	0.3025	0.5894	0.1081
k141_46349	0.8978	0.0733	0.0289
k141_323829	0.1662	0.2467	0.5871
k141_185100	0.2805	0.6605	0.0589
k141_138876	0.9099	0.0645	0.0256
k141_91	0.9085	0.0662	0.0253
k141_277582	0.9316	0.0488	0.0196
k141_323832	0.3132	0.4474	0.2394
k141_231350	0.4975	0.3967	0.1058
k141_92	0.1159	0.0989	0.7852
k141_92591	0.1174	0.5775	0.3051
k141_277584	0.8102	0.1544	0.0354
k141_138881	0.2212	0.5743	0.2045
k141_93	0.0011	0.9951	0.0038
k141_231354	0.0213	0.0193	0.9595
k141_46354	0.4375	0.5016	0.0609
k141_92600	0.7281	0.1310	0.1408
k141_323843	0.0318	0.0458	0.9224
k141_92602	0.4973	0.2039	0.2988
k141_46357	0.5759	0.1647	0.2594
k141_185116	0.2899	0.3423	0.3678
k141_323844	0.6518	0.2592	0.0890
k141_104	0.6605	0.2019	0.1377
k141_92603	0.6843	0.2486	0.0671
k141_231373	0.9539	0.0297	0.0164
k141_92604	0.7837	0.1747	0.0416
k141_277595	0.6445	0.2907	0.0649
k141_323846	0.6214	0.2452	0.1334
k141_108	0.0781	0.6960	0.2258
k141_46368	0.7149	0.2301	0.0550
k141_231374	0.9277	0.0546	0.0177
k141_323847	0.4279	0.5199	0.0522
k141_92607	0.8917	0.0849	0.0233
k141_113	0.3991	0.4566	0.1443
k141_46380	0.4432	0.2135	0.3433
k141_231381	0.7199	0.1291	0.1510
k141_138912	0.6500	0.1918	0.1582
k141_185140	0.1987	0.5064	0.2950
k141_231385	0.0340	0.0413	0.9246
k141_277614	0.1801	0.6662	0.1537
k141_323851	0.3121	0.5775	0.1104
k141_185149	0.9505	0.0364	0.0131
k141_46381	0.5841	0.2690	0.1469
k141_231390	0.4852	0.3433	0.1714
k141_277616	0.8321	0.1112	0.0567
k141_46382	0.1563	0.4445	0.3992
k141_277621	0.1638	0.1297	0.7065
k141_185155	0.8769	0.0837	0.0393
k141_92625	0.2674	0.4930	0.2396
k141_323859	0.5397	0.2602	0.2001
k141_46385	0.7435	0.2099	0.0466
k141_185156	0.6048	0.2441	0.1511
k141_46386	0.3569	0.4373	0.2058
k141_231404	0.9263	0.0535	0.0201
k141_92626	0.0169	0.1516	0.8315
k141_46389	0.3441	0.2847	0.3713
k141_231406	0.8794	0.0721	0.0485
k141_277627	0.9217	0.0659	0.0124
k141_138937	0.3006	0.5669	0.1325
k141_185165	0.8565	0.1014	0.0421
k141_92627	0.7471	0.1855	0.0674
k141_46392	0.2787	0.4622	0.2591
k141_277631	0.8472	0.1102	0.0426
k141_46395	0.4627	0.2953	0.2421
k141_137	0.5615	0.3923	0.0462
k141_323879	0.0236	0.0222	0.9543
k141_92633	0.1856	0.4247	0.3897
k141_138948	0.8234	0.1420	0.0346
k141_231419	0.4223	0.3551	0.2226
k141_185175	0.0186	0.0255	0.9559
k141_231421	0.5600	0.2978	0.1422
k141_138951	0.9094	0.0662	0.0244
k141_144	0.7695	0.1353	0.0953
k141_46407	0.6218	0.2086	0.1696
k141_323884	0.7280	0.2206	0.0514
k141_277632	0.0073	0.0143	0.9784
k141_92647	0.9355	0.0465	0.0179
k141_323885	0.9370	0.0488	0.0143
k141_323886	0.9480	0.0377	0.0143
k141_277633	0.9035	0.0772	0.0193
k141_185179	0.5857	0.3371	0.0772
k141_277634	0.3767	0.2871	0.3362
k141_231435	0.2217	0.6092	0.1691
k141_92649	0.0263	0.0671	0.9066
k141_138962	0.3842	0.5515	0.0643
k141_46414	0.9165	0.0646	0.0189
k141_92650	0.4987	0.2992	0.2021
k141_152	0.6731	0.2462	0.0806
k141_231437	0.2449	0.3206	0.4344
k141_138966	0.6404	0.2005	0.1591
k141_92653	0.0578	0.0601	0.8821
k141_155	0.5362	0.2732	0.1906
k141_138969	0.8396	0.1302	0.0303
k141_231444	0.6683	0.2540	0.0776
k141_323903	0.7729	0.1791	0.0481
k141_92663	0.1668	0.1810	0.6522
k141_277651	0.9118	0.0549	0.0333
k141_46423	0.8448	0.1222	0.0331
k141_158	0.1584	0.5933	0.2484
k141_138975	0.5387	0.3464	0.1149
k141_185207	0.0906	0.0700	0.8394
k141_231445	0.5705	0.2584	0.1710
k141_159	0.1612	0.6659	0.1729
k141_138978	0.2657	0.7020	0.0322
k141_160	0.0199	0.0206	0.9595
k141_323911	0.2033	0.5997	0.1969
k141_277658	0.3140	0.2212	0.4647
k141_138980	0.4765	0.2288	0.2947
k141_161	0.8720	0.0920	0.0360
k141_231451	0.6534	0.2537	0.0929
k141_46427	0.0384	0.0378	0.9238
k141_323913	0.8624	0.0854	0.0522
k141_163	0.3749	0.5157	0.1094
k141_138984	0.2414	0.5134	0.2452
k141_185227	0.6062	0.1482	0.2456
k141_277665	0.0093	0.0134	0.9773
k141_46429	0.0112	0.0293	0.9595
k141_185230	0.0029	0.9930	0.0041
k141_323923	0.4583	0.3244	0.2173
k141_138991	0.4427	0.3785	0.1788
k141_185233	0.3353	0.2991	0.3656
k141_174	0.7390	0.2040	0.0570
k141_92681	0.7947	0.1686	0.0366
k141_231475	0.6314	0.2086	0.1599
k141_277682	0.2930	0.2581	0.4489
k141_46439	0.4441	0.4894	0.0665
k141_277687	0.8757	0.0994	0.0250
k141_231482	0.0018	0.9939	0.0043
k141_185234	0.0569	0.2492	0.6939
k141_139011	0.4573	0.2678	0.2749
k141_183	0.6836	0.2584	0.0579
k141_231486	0.9727	0.0184	0.0089
k141_231487	0.8280	0.0984	0.0735
k141_92703	0.5391	0.2740	0.1868
k141_277695	0.8691	0.0705	0.0603
k141_139017	0.7389	0.2401	0.0210
k141_231490	0.2456	0.2337	0.5207
k141_185	0.2836	0.6178	0.0986
k141_185242	0.8694	0.0949	0.0357
k141_46455	0.8946	0.0970	0.0084
k141_186	0.6444	0.2060	0.1496
k141_92711	0.2710	0.2084	0.5206
k141_231492	0.4506	0.3381	0.2113
k141_92713	0.7081	0.1223	0.1696
k141_231494	0.6740	0.1576	0.1685
k141_46458	0.0085	0.0316	0.9599
k141_231495	0.6055	0.2519	0.1426
k141_139028	0.8226	0.1477	0.0296
k141_46459	0.8491	0.1178	0.0330
k141_277714	0.0093	0.0135	0.9772
k141_196	0.9238	0.0559	0.0203
k141_139029	0.0101	0.9256	0.0643
k141_323930	0.8264	0.1276	0.0459
k141_92721	0.0412	0.9377	0.0210
k141_231502	0.5256	0.2348	0.2397
k141_46464	0.0981	0.8469	0.0550
k141_185260	0.9800	0.0147	0.0053
k141_277731	0.5151	0.2966	0.1883
k141_46466	0.6944	0.2339	0.0717
k141_231503	0.8430	0.1239	0.0331
k141_92724	0.6451	0.3174	0.0376
k141_323937	0.1489	0.1166	0.7345
k141_46470	0.2423	0.3402	0.4175
k141_139044	0.1142	0.5652	0.3206
k141_185266	0.3012	0.4148	0.2840
k141_231508	0.4431	0.4441	0.1128
k141_46475	0.6931	0.1481	0.1588
k141_323941	0.1044	0.7441	0.1515
k141_231514	0.2297	0.6208	0.1495
k141_277745	0.0195	0.0232	0.9573
k141_92740	0.5836	0.3393	0.0771
k141_231515	0.4573	0.4706	0.0721
k141_200	0.9582	0.0281	0.0137
k141_185281	0.7759	0.1381	0.0860
k141_323943	0.6503	0.2736	0.0761
k141_139055	0.8226	0.1427	0.0346
k141_277747	0.4166	0.4291	0.1543
k141_46477	0.2436	0.6392	0.1172
k141_139057	0.4664	0.2427	0.2909
k141_277753	0.7891	0.1649	0.0460
k141_46487	0.7841	0.1892	0.0267
k141_185286	0.4716	0.4347	0.0937
k141_217	0.8821	0.0854	0.0325
k141_139064	0.5935	0.2883	0.1182
k141_277757	0.0275	0.0242	0.9483
k141_231534	0.2328	0.5240	0.2432
k141_139065	0.8274	0.1218	0.0508
k141_323945	0.8089	0.1686	0.0225
k141_185289	0.1604	0.1566	0.6830
k141_277760	0.6840	0.2519	0.0641
k141_139068	0.1003	0.6916	0.2082
k141_231535	0.0262	0.9556	0.0181
k141_92771	0.3613	0.4816	0.1571
k141_277765	0.1136	0.0982	0.7883
k141_46493	0.9716	0.0204	0.0080
k141_185303	0.3888	0.1953	0.4159
k141_231539	0.5627	0.3041	0.1331
k141_277767	0.2774	0.2109	0.5116
k141_92775	0.2640	0.5809	0.1551
k141_231544	0.5176	0.2553	0.2270
k141_235	0.7317	0.2096	0.0587
k141_139078	0.6241	0.3019	0.0740
k141_46504	0.7884	0.1094	0.1022
k141_92783	0.9033	0.0637	0.0330
k141_139081	0.3360	0.4925	0.1716
k141_231549	0.2045	0.5469	0.2486
k141_92785	0.6350	0.1894	0.1756
k141_139082	0.1794	0.4328	0.3879
k141_277783	0.3140	0.3481	0.3379
k141_244	0.5585	0.3443	0.0972
k141_185322	0.1384	0.0883	0.7733
k141_139083	0.4206	0.2773	0.3021
k141_231551	0.8608	0.1043	0.0349
k141_46511	0.3735	0.2575	0.3690
k141_277790	0.0232	0.9314	0.0454
k141_250	0.6429	0.2065	0.1506
k141_231557	0.2642	0.4274	0.3085
k141_46514	0.0358	0.0487	0.9155
k141_323954	0.0291	0.9575	0.0134
k141_139089	0.0251	0.0621	0.9128
k141_92798	0.4057	0.1772	0.4171
k141_277796	0.0150	0.0203	0.9648
k141_254	0.2373	0.5601	0.2026
k141_185341	0.5380	0.2435	0.2185
k141_231566	0.0033	0.9933	0.0034
k141_92801	0.9460	0.0441	0.0099
k141_323958	0.8310	0.1219	0.0471
k141_257	0.0042	0.9857	0.0101
k141_92804	0.5730	0.1993	0.2277
k141_277801	0.8354	0.0988	0.0658
k141_323963	0.2907	0.4492	0.2601
k141_46517	0.9414	0.0425	0.0161
k141_231570	0.6217	0.3154	0.0629
k141_185357	0.4474	0.4847	0.0679
k141_277809	0.7734	0.1423	0.0843
k141_231576	0.3179	0.5561	0.1260
k141_139115	0.3801	0.4175	0.2024
k141_265	0.0061	0.9834	0.0105
k141_231577	0.2081	0.5981	0.1939
k141_323971	0.3661	0.5384	0.0955
k141_277812	0.2335	0.2367	0.5298
k141_231578	0.3201	0.4655	0.2144
k141_268	0.4171	0.3481	0.2348
k141_46530	0.3884	0.3577	0.2539
k141_92820	0.6940	0.2401	0.0660
k141_323975	0.1619	0.2495	0.5886
k141_46531	0.0929	0.7858	0.1213
k141_277817	0.0553	0.0805	0.8641
k141_185371	0.7988	0.1643	0.0369
k141_231581	0.9647	0.0232	0.0121
k141_323978	0.3232	0.3201	0.3567
k141_270	0.0349	0.8455	0.1196
k141_277823	0.4346	0.2869	0.2785
k141_139127	0.3386	0.5587	0.1027
k141_323980	0.1687	0.1366	0.6947
k141_231584	0.3899	0.5843	0.0258
k141_277824	0.5864	0.2166	0.1970
k141_273	0.0566	0.1121	0.8313
k141_185386	0.0044	0.9820	0.0136
k141_46532	0.5879	0.3664	0.0457
k141_323985	0.1811	0.1761	0.6429
k141_185387	0.3576	0.3856	0.2569
k141_277829	0.9623	0.0293	0.0084
k141_46533	0.0025	0.9902	0.0073
k141_323986	0.7433	0.1575	0.0992
k141_323987	0.7520	0.1923	0.0557
k141_282	0.6813	0.2668	0.0519
k141_46536	0.2454	0.4931	0.2615
k141_323989	0.9388	0.0424	0.0188
k141_231602	0.6967	0.2725	0.0308
k141_185398	0.7150	0.1272	0.1578
k141_139146	0.0179	0.0208	0.9614
k141_323991	0.6534	0.1983	0.1482
k141_290	0.6155	0.2385	0.1460
k141_231603	0.7113	0.2035	0.0852
k141_277843	0.2983	0.2532	0.4485
k141_46547	0.4021	0.5071	0.0908
k141_92860	0.1839	0.2366	0.5796
k141_297	0.1204	0.5138	0.3658
k141_324000	0.2264	0.4939	0.2796
k141_185414	0.7446	0.2094	0.0459
k141_139154	0.0982	0.2437	0.6581
k141_277852	0.2728	0.5540	0.1732
k141_277853	0.6585	0.2102	0.1313
k141_92861	0.8560	0.1062	0.0378
k141_324005	0.0198	0.9761	0.0041
k141_231615	0.6378	0.2751	0.0871
k141_185425	0.5311	0.3977	0.0712
k141_324009	0.4198	0.4297	0.1505
k141_277858	0.8046	0.1349	0.0605
k141_311	0.8383	0.1351	0.0266
k141_92867	0.5719	0.3498	0.0783
k141_231619	0.9422	0.0443	0.0135
k141_46554	0.5425	0.3626	0.0949
k141_277860	0.1002	0.2090	0.6909
k141_313	0.5579	0.2426	0.1995
k141_277862	0.7015	0.1998	0.0987
k141_185434	0.0083	0.9849	0.0068
k141_324014	0.2680	0.6171	0.1149
k141_319	0.6379	0.1561	0.2060
k141_46560	0.2070	0.5632	0.2298
k141_231624	0.9352	0.0527	0.0121
k141_139183	0.8718	0.0930	0.0352
k141_277867	0.6338	0.2270	0.1392
k141_231628	0.5621	0.2923	0.1456
k141_46562	0.0415	0.8514	0.1071
k141_92874	0.0068	0.0112	0.9820
k141_92875	0.9245	0.0583	0.0171
k141_139189	0.5078	0.4224	0.0698
k141_277872	0.7798	0.1739	0.0463
k141_231629	0.0216	0.9559	0.0225
k141_185451	0.6100	0.2089	0.1811
k141_92877	0.0187	0.0474	0.9338
k141_324029	0.2775	0.6137	0.1088
k141_231630	0.8323	0.1333	0.0344
k141_46563	0.1830	0.6797	0.1373
k141_331	0.7995	0.0481	0.1524
k141_185454	0.1102	0.4501	0.4397
k141_277883	0.8481	0.1166	0.0352
k141_92879	0.9600	0.0287	0.0114
k141_231638	0.5211	0.3123	0.1665
k141_139204	0.1394	0.0826	0.7780
k141_324043	0.3817	0.4234	0.1949
k141_185457	0.8542	0.1071	0.0388
k141_231642	0.5662	0.3105	0.1233
k141_342	0.3554	0.2658	0.3788
k141_277892	0.7103	0.1605	0.1292
k141_324048	0.8094	0.1470	0.0436
k141_46571	0.6437	0.2731	0.0832
k141_139211	0.7417	0.1640	0.0943
k141_347	0.7276	0.2115	0.0608
k141_324052	0.7820	0.1068	0.1112
k141_92885	0.8724	0.1098	0.0178
k141_324054	0.8650	0.1012	0.0338
k141_231652	0.8202	0.1370	0.0428
k141_277903	0.5277	0.2059	0.2665
k141_231653	0.3029	0.3255	0.3716
k141_92887	0.0187	0.0289	0.9524
k141_46577	0.5562	0.3860	0.0579
k141_92889	0.0446	0.9437	0.0117
k141_46579	0.9429	0.0502	0.0069
k141_277910	0.4446	0.3267	0.2287
k141_231656	0.1658	0.1369	0.6973
k141_92890	0.0812	0.1008	0.8181
k141_185481	0.1957	0.7601	0.0442
k141_324059	0.9408	0.0470	0.0121
k141_231658	0.8211	0.0972	0.0818
k141_92892	0.3530	0.2988	0.3482
k141_139223	0.6302	0.2760	0.0938
k141_277917	0.9426	0.0409	0.0165
k141_324064	0.1757	0.0338	0.7906
k141_185490	0.5202	0.3322	0.1476
k141_361	0.5725	0.3679	0.0596
k141_277919	0.0726	0.7373	0.1902
k141_231670	0.9529	0.0325	0.0146
k141_277921	0.4206	0.5361	0.0433
k141_363	0.4224	0.4310	0.1466
k141_185492	0.0246	0.1225	0.8529
k141_231673	0.3030	0.4358	0.2613
k141_92893	0.9562	0.0313	0.0125
k141_324073	0.7774	0.1745	0.0481
k141_139239	0.0464	0.0372	0.9164
k141_324077	0.0615	0.0706	0.8680
k141_92896	0.2830	0.4476	0.2693
k141_277929	0.1664	0.3623	0.4714
k141_376	0.3623	0.4135	0.2241
k141_324079	0.9485	0.0370	0.0145
k141_231688	0.5590	0.2514	0.1896
k141_46586	0.0123	0.9802	0.0076
k141_384	0.2187	0.6008	0.1805
k141_92901	0.5974	0.2789	0.1238
k141_185495	0.3989	0.4905	0.1106
k141_92902	0.2079	0.2508	0.5413
k141_324086	0.5889	0.2441	0.1670
k141_277946	0.1465	0.1853	0.6682
k141_92904	0.9122	0.0536	0.0342
k141_386	0.1553	0.7661	0.0786
k141_139264	0.5784	0.2373	0.1843
k141_185506	0.2709	0.5325	0.1966
k141_231713	0.0012	0.9943	0.0045
k141_324104	0.7974	0.1442	0.0584
k141_139265	0.1503	0.7829	0.0668
k141_92914	0.8850	0.0819	0.0332
k141_277952	0.8290	0.0997	0.0712
k141_324105	0.3916	0.4453	0.1631
k141_397	0.3758	0.5421	0.0821
k141_92918	0.2703	0.6326	0.0972
k141_139271	0.0525	0.1018	0.8457
k141_324108	0.9519	0.0342	0.0139
k141_231723	0.8486	0.1099	0.0414
k141_400	0.8661	0.0863	0.0477
k141_324109	0.9724	0.0191	0.0085
k141_46608	0.1964	0.1479	0.6557
k141_402	0.0192	0.0279	0.9529
k141_139272	0.1491	0.8174	0.0336
k141_46609	0.4065	0.3972	0.1962
k141_324110	0.0030	0.9852	0.0118
k141_46610	0.1428	0.1476	0.7096
k141_406	0.2161	0.2814	0.5026
k141_231724	0.7957	0.1380	0.0663
k141_139275	0.6036	0.2691	0.1273
k141_92932	0.1180	0.6507	0.2313
k141_46614	0.4339	0.4682	0.0979
k141_407	0.0282	0.1215	0.8503
k141_324113	0.7719	0.1819	0.0461
k141_277970	0.8839	0.0966	0.0195
k141_231731	0.1367	0.7376	0.1256
k141_411	0.0563	0.1638	0.7799
k141_139282	0.5656	0.2765	0.1579
k141_413	0.0035	0.9879	0.0087
k141_185507	0.8995	0.0746	0.0260
k141_324122	0.5145	0.2956	0.1899
k141_414	0.0287	0.0500	0.9212
k141_277976	0.8669	0.0984	0.0347
k141_231739	0.4549	0.2768	0.2684
k141_277980	0.3146	0.5956	0.0898
k141_139296	0.4608	0.3250	0.2142
k141_231742	0.0523	0.8738	0.0739
k141_46633	0.1632	0.6332	0.2037
k141_277982	0.7171	0.2399	0.0430
k141_324130	0.1264	0.7100	0.1635
k141_428	0.1206	0.1733	0.7061
k141_46635	0.8761	0.0965	0.0274
k141_92951	0.5386	0.3813	0.0801
k141_430	0.4249	0.4460	0.1291
k141_46636	0.8459	0.0861	0.0679
k141_277984	0.3691	0.5891	0.0419
k141_324135	0.0047	0.9901	0.0052
k141_231751	0.8634	0.0918	0.0448
k141_139304	0.0125	0.0180	0.9695
k141_92954	0.8391	0.1216	0.0394
k141_185527	0.2038	0.7242	0.0720
k141_324136	0.0017	0.9920	0.0063
k141_277987	0.6139	0.3304	0.0557
k141_231754	0.6397	0.2270	0.1333
k141_139309	0.5274	0.2871	0.1855
k141_185528	0.5003	0.3296	0.1701
k141_46640	0.8190	0.1159	0.0651
k141_92956	0.5118	0.4145	0.0736
k141_324139	0.8387	0.0869	0.0744
k141_440	0.4651	0.4208	0.1141
k141_277995	0.6523	0.2590	0.0887
k141_139310	0.7204	0.1749	0.1047
k141_185538	0.5301	0.3302	0.1397
k141_92961	0.6470	0.2815	0.0715
k141_46648	0.4727	0.4160	0.1113
k141_324143	0.0739	0.8341	0.0920
k141_139313	0.4673	0.2459	0.2868
k141_443	0.4534	0.4870	0.0596
k141_185539	0.9122	0.0700	0.0177
k141_444	0.3719	0.5622	0.0660
k141_139314	0.7297	0.2062	0.0641
k141_46654	0.2084	0.5583	0.2333
k141_231777	0.6659	0.1748	0.1593
k141_139315	0.1851	0.1904	0.6245
k141_46656	0.6515	0.1954	0.1531
k141_92969	0.7542	0.1794	0.0664
k141_278009	0.5788	0.2211	0.2000
k141_231779	0.3659	0.4406	0.1935
k141_448	0.3161	0.4753	0.2086
k141_92971	0.1497	0.1533	0.6970
k141_231780	0.7744	0.0648	0.1608
k141_185550	0.0458	0.8349	0.1193
k141_139319	0.0110	0.0159	0.9731
k141_324155	0.9369	0.0504	0.0126
k141_278013	0.7863	0.1727	0.0410
k141_92975	0.5752	0.3899	0.0349
k141_231787	0.1417	0.1415	0.7167
k141_46659	0.2776	0.5890	0.1334
k141_278015	0.6915	0.2761	0.0324
k141_450	0.0127	0.9800	0.0073
k141_324159	0.1686	0.6776	0.1538
k141_139330	0.5335	0.2575	0.2090
k141_92985	0.9276	0.0605	0.0120
k141_231790	0.2353	0.5125	0.2522
k141_454	0.6577	0.2495	0.0928
k141_278020	0.6930	0.1617	0.1454
k141_46666	0.6305	0.2000	0.1695
k141_92986	0.4193	0.3173	0.2634
k141_185574	0.9154	0.0658	0.0188
k141_324161	0.9110	0.0668	0.0223
k141_92988	0.8602	0.0751	0.0646
k141_456	0.0073	0.0151	0.9776
k141_458	0.5548	0.2863	0.1589
k141_231802	0.0918	0.8677	0.0405
k141_278031	0.1178	0.5273	0.3549
k141_459	0.0793	0.7317	0.1890
k141_92991	0.3139	0.6052	0.0809
k141_46671	0.5788	0.1862	0.2349
k141_324165	0.7076	0.1696	0.1228
k141_278033	0.1832	0.2304	0.5863
k141_324169	0.4047	0.4086	0.1867
k141_324170	0.6307	0.2581	0.1113
k141_278038	0.3485	0.4288	0.2227
k141_185596	0.4285	0.3309	0.2406
k141_469	0.3247	0.4919	0.1834
k141_46686	0.2945	0.4373	0.2682
k141_324177	0.9337	0.0449	0.0215
k141_231820	0.5553	0.4065	0.0382
k141_472	0.9377	0.0471	0.0152
k141_278045	0.5451	0.3384	0.1165
k141_46689	0.9759	0.0175	0.0066
k141_185606	0.8813	0.0616	0.0570
k141_231825	0.6789	0.2129	0.1082
k141_139344	0.1107	0.6942	0.1951
k141_476	0.2031	0.3387	0.4582
k141_324181	0.9675	0.0240	0.0085
k141_478	0.2585	0.3862	0.3554
k141_185612	0.8823	0.0969	0.0209
k141_324183	0.1804	0.2097	0.6099
k141_481	0.2057	0.6077	0.1866
k141_278052	0.1485	0.7868	0.0647
k141_92992	0.0074	0.0129	0.9797
k141_483	0.5966	0.2103	0.1931
k141_46697	0.6931	0.2717	0.0352
k141_231841	0.1775	0.3012	0.5212
k141_278060	0.3378	0.3905	0.2717
k141_488	0.0169	0.0207	0.9625
k141_46699	0.1417	0.6452	0.2131
k141_92997	0.7147	0.2073	0.0780
k141_324197	0.6379	0.2142	0.1479
k141_324198	0.9587	0.0338	0.0075
k141_231847	0.4798	0.2680	0.2522
k141_139368	0.5265	0.3800	0.0935
k141_324201	0.6045	0.3117	0.0838
k141_231850	0.1497	0.4992	0.3511
k141_278071	0.7531	0.1331	0.1139
k141_46710	0.0482	0.0546	0.8972
k141_139371	0.3906	0.3999	0.2095
k141_93003	0.1000	0.7928	0.1073
k141_496	0.5768	0.2960	0.1272
k141_185638	0.4918	0.3172	0.1910
k141_324202	0.6771	0.2063	0.1166
k141_498	0.1004	0.1717	0.7279
k141_46715	0.8594	0.1060	0.0346
k141_139382	0.7463	0.1901	0.0636
k141_231866	0.5498	0.1823	0.2679
k141_278074	0.0309	0.9616	0.0075
k141_499	0.1288	0.6013	0.2699
k141_324214	0.2655	0.2966	0.4379
k141_231868	0.5611	0.3430	0.0959
k141_93014	0.1677	0.6805	0.1518
k141_46720	0.2936	0.4115	0.2949
k141_278076	0.5603	0.3710	0.0687
k141_93015	0.7287	0.1722	0.0991
k141_278079	0.4947	0.3134	0.1919
k141_139390	0.5196	0.3839	0.0965
k141_185639	0.3183	0.6212	0.0604
k141_46725	0.5256	0.2982	0.1761
k141_324217	0.1073	0.1019	0.7908
k141_278080	0.2048	0.1929	0.6023
k141_506	0.5126	0.3312	0.1563
k141_185640	0.0043	0.9881	0.0076
k141_231874	0.2536	0.3640	0.3823
k141_324220	0.8503	0.1137	0.0360
k141_139396	0.6795	0.1602	0.1603
k141_185650	0.7480	0.1701	0.0819
k141_278093	0.0195	0.0335	0.9471
k141_93029	0.0029	0.9909	0.0062
k141_278094	0.0251	0.0321	0.9427
k141_139404	0.1823	0.5601	0.2576
k141_511	0.0352	0.8793	0.0855
