Organism,Omadacycline,Doxycycline,Minocycline,Tetracycline,Tigecycline,Oxacillin,Ceftaroline,Ceftriaxone,"Amoxicillin-
clavulanic acid","Piperacillin-
tazobactam",Levofloxacin,Erythromycin,Clindamycin,Linezolid,Daptomycin,Vancomycin,Teicoplanin,Gentamicin,Amikacin,Ampicillin,Azithromycin,Aztreonam,Cefepime,Ceftazidime,Colistin,Imipenem,Moxifloxacin,Penicillin,"Trimethoprim-
sulfamethoxazole"
Enterobacter cloacae species complex,2.808269720101781,2.7685750636132314,4.076319095477387,4.086048879837067,0.6209974554707379,,,3.4750610997963336,,31.381176770249617,0.790617662072486,,,,,,,1.2425560081466396,1.777113034623218,,,6.075320351758794,3.7644549159449823,12.062015267175573,,0.5626819338422392,,,1.2342442748091602
Enterococcus faecium,0.09927631578947367,5.405207667731629,4.402966386554621,10.075749588138384,0.06131853070175439,,,,,15.21984126984127,3.684078947368421,13.140205128205128,1.716025641025641,1.1988706140350875,1.418962108731466,8.73889802631579,11.278008298755188,151.42179072276159,,12.906167763157894,,,,,,,,,
Staphylococcus epidermidis,0.31327061427780856,1.1098782512451577,0.44875698324022345,2.036873270614278,0.12346596568898728,1.4430935251798562,0.31866056572379364,6.040441176470588,,2.769607843137255,2.130426120641948,5.487819590481461,0.9032872163807416,0.885224128389596,0.3817819590481461,1.4364451827242524,2.8284313725490198,3.313503043718871,,,,,,,,,,,2.6623464305478692
Serratia marcescens,4.100390407138874,5.0055772448410485,3.5521343596920922,13.727830451756832,1.035064138315672,,,1.0425878416062464,,7.545619419642857,0.4950223089793642,,,,,,,0.9217131696428572,2.8464863357501393,,,0.8966899930020993,1.1018247767857143,0.9988901282766314,,0.7265978806469604,,,0.6427790178571428
Moraxella catarrhalis,0.15960850111856822,,,0.3206263982102908,0.056596756152125276,,,0.3342662192393736,0.14738095238095236,,0.04914966367713004,,,,,,,,,,0.02427815315315315,,,,,,0.05434677871148459,3.3528403361344536,0.24002801120448178
Klebsiella oxytoca,1.4082156611039796,1.4530012853470435,1.7438271604938271,2.0028938906752414,0.3254813863928113,,,1.0357445442875481,,13.782329910141206,0.27162170841361594,,,,,,,0.9815928066795119,1.850449293966624,,,2.244094993581515,1.601553273427471,1.4107252888318356,,0.2455519897304236,,,0.8177377892030849
Stenotrophomonas maltophilia,4.0728131021194605,2.6759734513274336,0.637,14.838246131171703,1.468194087403599,,,,,107.39849108367626,2.7291131105398456,,,,,,,,,,,,32.16510638297872,24.770173633440518,,,,,0.5880514469453376
Streptococcus agalactiae,0.11989655172413792,0.8582121212121212,0.8555757575757575,4.784137931034483,0.05681034482758621,,0.014679903730445247,0.05842911877394636,0.054827586206896546,0.2440229885057471,0.7812896551724137,5.658378191856452,0.8262896551724137,1.0825862068965517,0.2162071378586424,0.42482068965517245,0.1499233716475096,,,,,,,,,,,0.046336551724137934,
Enterobacter cloacae,2.202420016406891,2.4232977850697295,3.1366039952996476,3.426989335520919,0.4991960623461854,,,1.6661380443714051,,11.201599671862182,0.6367296631059983,,,,,,,0.828137817883511,1.618129614438064,,,2.597626321974148,2.7548113207547167,4.752649712879409,,0.36717801476620177,,,1.1597695473251028
Klebsiella aerogenes,2.083816425120773,2.0521739130434784,2.7938931297709924,2.9497098646034816,0.493487922705314,,,2.55352998065764,,20.548839458413926,0.20829787234042552,,,,,,,0.5673816425120773,1.6333333333333333,,,4.346759847522237,0.9623913043478262,8.762734299516909,,0.8123768115942029,,,0.45366537717601546
