seq_name	chromosome_score	plasmid_score	virus_score
k141_395693	0.9773	0.0162	0.0065
k141_131913	0.9559	0.0292	0.0149
k141_66030	0.7097	0.2453	0.0450
k141_79	0.3479	0.5948	0.0574
k141_263834	0.9366	0.0495	0.0139
k141_80	0.3738	0.4068	0.2194
k141_329762	0.0273	0.1839	0.7888
k141_66036	0.0240	0.0296	0.9464
k141_81	0.0308	0.0708	0.8984
k141_263836	0.8437	0.1265	0.0298
k141_461617	0.8139	0.1519	0.0342
k141_395703	0.0254	0.0280	0.9466
k141_197873	0.8619	0.1103	0.0279
k141_263837	0.6034	0.3312	0.0653
k141_395704	0.0295	0.0359	0.9345
k141_263839	0.5073	0.2560	0.2367
k141_461619	0.1447	0.7344	0.1209
k141_87	0.6318	0.2608	0.1074
k141_395706	0.7413	0.1739	0.0848
k141_88	0.0321	0.8747	0.0932
k141_461622	0.1099	0.8573	0.0328
k141_131922	0.2093	0.4614	0.3292
k141_263841	0.8162	0.1629	0.0209
k141_197883	0.0381	0.0239	0.9380
k141_92	0.2271	0.5331	0.2398
k141_131924	0.4503	0.3380	0.2117
k141_329778	0.0140	0.0162	0.9698
k141_461625	0.1111	0.1480	0.7409
k141_395713	0.1904	0.3165	0.4930
k141_197885	0.5026	0.3332	0.1643
k141_131925	0.9352	0.0457	0.0191
k141_96	0.0132	0.9643	0.0225
k141_97	0.0153	0.0214	0.9632
k141_461626	0.9651	0.0251	0.0098
k141_263850	0.6200	0.2834	0.0967
k141_395718	0.9005	0.0830	0.0165
k141_461627	0.0370	0.8827	0.0803
k141_66055	0.6026	0.3487	0.0487
k141_329789	0.8925	0.0849	0.0225
k141_98	0.8098	0.1558	0.0344
k141_131937	0.6291	0.1573	0.2136
k141_395719	0.3083	0.2701	0.4216
k141_131938	0.4446	0.2272	0.3281
k141_461630	0.4481	0.4039	0.1479
k141_263861	0.2386	0.2366	0.5248
k141_329792	0.5198	0.2915	0.1886
k141_66060	0.3194	0.3090	0.3716
k141_461632	0.4284	0.2904	0.2812
k141_395726	0.8975	0.0681	0.0344
k141_197888	0.1012	0.7582	0.1406
k141_263862	0.4143	0.3229	0.2628
k141_329793	0.2165	0.5958	0.1877
k141_107	0.2543	0.5431	0.2026
k141_197890	0.6604	0.2414	0.0982
k141_66061	0.9064	0.0694	0.0241
k141_395731	0.4329	0.4200	0.1471
k141_329794	0.9559	0.0331	0.0111
k141_111	0.6042	0.3036	0.0922
k141_197891	0.8831	0.0988	0.0181
k141_66063	0.5201	0.2474	0.2324
k141_461642	0.0083	0.0125	0.9792
k141_395734	0.3486	0.4310	0.2203
k141_329796	0.9136	0.0620	0.0244
k141_263869	0.1361	0.1490	0.7149
k141_66064	0.3181	0.3645	0.3174
k141_131944	0.0919	0.0753	0.8328
k141_66065	0.1415	0.6659	0.1926
k141_113	0.1924	0.7049	0.1027
k141_461646	0.3219	0.3826	0.2955
k141_329797	0.7875	0.1775	0.0350
k141_131946	0.1794	0.4841	0.3365
k141_395740	0.2942	0.5727	0.1331
k141_461647	0.0189	0.6048	0.3763
k141_197899	0.8590	0.1046	0.0364
k141_461648	0.0844	0.5525	0.3630
k141_395741	0.1270	0.1526	0.7204
k141_131952	0.7356	0.1890	0.0754
k141_329806	0.1419	0.1533	0.7048
k141_263880	0.2618	0.5926	0.1456
k141_461652	0.1879	0.5049	0.3072
k141_197902	0.9524	0.0357	0.0119
k141_461653	0.6477	0.2964	0.0559
k141_66082	0.3429	0.2516	0.4055
k141_329810	0.2410	0.4407	0.3183
k141_329811	0.8971	0.0747	0.0282
k141_131	0.4645	0.2763	0.2591
k141_197911	0.7949	0.1216	0.0835
k141_395754	0.1284	0.0405	0.8311
k141_461659	0.1124	0.6416	0.2460
k141_135	0.5271	0.2221	0.2508
k141_131967	0.4488	0.3140	0.2373
k141_66088	0.1647	0.5959	0.2394
k141_329821	0.9637	0.0249	0.0113
k141_197915	0.1578	0.7215	0.1207
k141_139	0.8958	0.0717	0.0325
k141_329822	0.3738	0.4164	0.2098
k141_197916	0.7362	0.1853	0.0784
k141_263897	0.6209	0.2216	0.1576
k141_131969	0.8809	0.0987	0.0205
k141_131970	0.1648	0.4884	0.3468
k141_395764	0.1429	0.8276	0.0296
k141_197918	0.3167	0.1752	0.5081
k141_66089	0.3291	0.5873	0.0836
k141_329823	0.1244	0.1880	0.6876
k141_263902	0.1376	0.6232	0.2392
k141_461674	0.5701	0.2248	0.2051
k141_263903	0.8297	0.0927	0.0776
k141_66091	0.3982	0.4088	0.1931
k141_141	0.4782	0.4486	0.0733
k141_263904	0.9087	0.0618	0.0295
k141_66094	0.7919	0.1874	0.0207
k141_395768	0.8312	0.1259	0.0429
k141_197926	0.9713	0.0206	0.0082
k141_263906	0.1821	0.6710	0.1469
k141_131982	0.8951	0.0705	0.0344
k141_461681	0.7071	0.1698	0.1231
k141_150	0.1860	0.6490	0.1650
k141_66097	0.6536	0.1961	0.1503
k141_131984	0.9391	0.0465	0.0145
k141_263908	0.4973	0.4086	0.0941
k141_395772	0.6608	0.2402	0.0990
k141_66098	0.2128	0.7523	0.0349
k141_329837	0.4037	0.5226	0.0737
k141_131985	0.0129	0.0454	0.9417
k141_461686	0.1211	0.1394	0.7394
k141_395773	0.2256	0.7070	0.0675
k141_197937	0.9412	0.0371	0.0217
k141_329838	0.0195	0.0273	0.9532
k141_66100	0.6893	0.1544	0.1563
k141_197938	0.7096	0.2182	0.0722
k141_131988	0.2655	0.3992	0.3353
k141_395774	0.8910	0.0698	0.0392
k141_161	0.8571	0.1115	0.0314
k141_197939	0.8677	0.1084	0.0239
k141_395775	0.8700	0.0852	0.0449
k141_329839	0.0120	0.0627	0.9253
k141_131990	0.7113	0.1523	0.1364
k141_263913	0.0271	0.9549	0.0180
k141_263914	0.0039	0.9930	0.0031
k141_461698	0.5854	0.2461	0.1685
k141_263916	0.2582	0.4637	0.2781
k141_172	0.2339	0.5746	0.1915
k141_395781	0.2317	0.3011	0.4672
k141_197948	0.4116	0.2726	0.3158
k141_263919	0.7695	0.1055	0.1250
k141_66119	0.5014	0.3350	0.1636
k141_461704	0.3121	0.5254	0.1625
k141_197949	0.8234	0.1315	0.0450
k141_263920	0.4845	0.4164	0.0991
k141_329850	0.2143	0.6087	0.1770
k141_173	0.9504	0.0412	0.0084
k141_132007	0.6630	0.1411	0.1959
k141_263922	0.7107	0.2018	0.0874
k141_174	0.9501	0.0345	0.0154
k141_461706	0.3877	0.4822	0.1302
k141_461708	0.0269	0.0340	0.9391
k141_329854	0.6661	0.2041	0.1297
k141_132011	0.1232	0.2130	0.6638
k141_197957	0.8380	0.0457	0.1163
k141_263923	0.8878	0.0831	0.0291
k141_197958	0.6443	0.2951	0.0607
k141_66129	0.3526	0.5821	0.0653
k141_329855	0.0103	0.0149	0.9747
k141_132014	0.3281	0.2933	0.3786
k141_461712	0.9355	0.0467	0.0178
k141_263927	0.4587	0.3851	0.1562
k141_395784	0.0220	0.9283	0.0497
k141_395785	0.7849	0.1108	0.1043
k141_263931	0.5468	0.2069	0.2462
k141_329860	0.5928	0.3007	0.1065
k141_66135	0.4112	0.3819	0.2069
k141_197963	0.9186	0.0642	0.0172
k141_181	0.0223	0.6400	0.3377
k141_66136	0.9570	0.0350	0.0081
k141_461716	0.9330	0.0505	0.0165
k141_263935	0.1051	0.1026	0.7923
k141_329865	0.4979	0.1445	0.3576
k141_395792	0.8983	0.0810	0.0207
k141_197965	0.7797	0.1843	0.0360
k141_461717	0.6262	0.2901	0.0837
k141_66140	0.2427	0.5550	0.2023
k141_329867	0.7686	0.2011	0.0304
k141_66141	0.1157	0.7295	0.1548
k141_132022	0.4062	0.5105	0.0833
k141_395794	0.0676	0.0705	0.8619
k141_66143	0.8048	0.1203	0.0749
k141_197966	0.2460	0.6786	0.0754
k141_461718	0.0112	0.0150	0.9738
k141_188	0.2849	0.6521	0.0629
k141_132029	0.5625	0.2200	0.2175
k141_395795	0.9548	0.0353	0.0099
k141_329876	0.8978	0.0627	0.0395
k141_197971	0.8408	0.0826	0.0766
k141_132033	0.0350	0.0636	0.9014
k141_329878	0.2420	0.4990	0.2590
k141_461724	0.1793	0.2573	0.5634
k141_198	0.5919	0.2706	0.1375
k141_263945	0.8093	0.1554	0.0353
k141_197972	0.7120	0.1092	0.1787
k141_395798	0.6848	0.1728	0.1424
k141_199	0.1170	0.1075	0.7754
k141_132036	0.7146	0.1598	0.1256
k141_329882	0.5035	0.2558	0.2406
k141_200	0.7910	0.1337	0.0753
k141_329883	0.5474	0.3113	0.1413
k141_66156	0.3476	0.5377	0.1147
k141_263949	0.8379	0.1265	0.0357
k141_461733	0.2231	0.5768	0.2001
k141_132039	0.8074	0.1361	0.0565
k141_395805	0.3328	0.4244	0.2427
k141_132040	0.1950	0.2754	0.5297
k141_263956	0.5827	0.3554	0.0619
k141_395808	0.2737	0.3468	0.3795
k141_203	0.7267	0.2064	0.0670
k141_197986	0.0645	0.0294	0.9060
k141_461742	0.9141	0.0591	0.0268
k141_66166	0.6545	0.1898	0.1557
k141_66167	0.7134	0.2045	0.0821
k141_329898	0.4088	0.3143	0.2769
k141_204	0.5463	0.3921	0.0616
k141_263960	0.4867	0.3448	0.1685
k141_395812	0.4151	0.4525	0.1324
k141_197993	0.8172	0.1050	0.0778
k141_395816	0.6645	0.1733	0.1622
k141_461746	0.2972	0.6050	0.0978
k141_395817	0.0085	0.9527	0.0388
k141_132060	0.0120	0.0262	0.9618
k141_66174	0.5232	0.3090	0.1678
k141_197999	0.1118	0.0812	0.8070
k141_132062	0.3640	0.1714	0.4646
k141_263966	0.9578	0.0310	0.0113
k141_329908	0.1092	0.3890	0.5018
k141_219	0.8720	0.0872	0.0408
k141_263967	0.8914	0.0783	0.0303
k141_198001	0.7105	0.2522	0.0373
k141_461747	0.6451	0.2919	0.0629
k141_220	0.0505	0.8891	0.0604
k141_461748	0.3652	0.4216	0.2132
k141_66175	0.6648	0.2752	0.0601
k141_221	0.8876	0.0652	0.0472
k141_66177	0.3370	0.3306	0.3324
k141_66178	0.5437	0.2792	0.1771
k141_395830	0.0698	0.8483	0.0819
k141_263975	0.9280	0.0564	0.0156
k141_395831	0.8251	0.1159	0.0590
k141_329920	0.4087	0.4867	0.1046
k141_132077	0.0103	0.0408	0.9489
k141_198014	0.2740	0.1440	0.5820
k141_461762	0.2327	0.4539	0.3134
k141_66181	0.2304	0.3604	0.4092
k141_132079	0.1911	0.5268	0.2821
k141_223	0.6352	0.2368	0.1279
k141_329925	0.0443	0.0375	0.9182
k141_263982	0.1463	0.2198	0.6339
k141_225	0.4467	0.4177	0.1356
k141_461764	0.5320	0.3389	0.1291
k141_329928	0.2404	0.2093	0.5503
k141_226	0.8963	0.0914	0.0123
k141_66186	0.2780	0.4348	0.2872
k141_263985	0.2394	0.4570	0.3036
k141_198017	0.8266	0.1059	0.0675
k141_329931	0.3382	0.3616	0.3002
k141_66187	0.5500	0.2888	0.1612
k141_395837	0.0025	0.9871	0.0105
k141_461769	0.8032	0.1523	0.0445
k141_132089	0.6843	0.2723	0.0434
k141_198020	0.0781	0.8875	0.0344
k141_66191	0.5974	0.3197	0.0829
k141_263993	0.8007	0.1590	0.0403
k141_235	0.2898	0.2438	0.4664
k141_329940	0.4932	0.3336	0.1732
k141_132091	0.0104	0.9756	0.0140
k141_198021	0.9686	0.0213	0.0102
k141_461771	0.9199	0.0623	0.0178
k141_263996	0.7905	0.1496	0.0598
k141_395845	0.9343	0.0438	0.0219
k141_329941	0.8311	0.1161	0.0529
k141_461772	0.4219	0.4484	0.1297
k141_132094	0.0383	0.0399	0.9219
k141_241	0.6735	0.2221	0.1044
k141_198025	0.2243	0.3615	0.4142
k141_132096	0.2688	0.5483	0.1829
k141_395849	0.8532	0.1142	0.0326
k141_243	0.3578	0.4444	0.1978
k141_461777	0.0678	0.0962	0.8360
k141_132098	0.0282	0.0457	0.9261
k141_395852	0.2685	0.5903	0.1411
k141_247	0.6270	0.3371	0.0359
k141_66196	0.8809	0.0911	0.0280
k141_132100	0.4043	0.3803	0.2154
k141_198039	0.8745	0.0924	0.0331
k141_461782	0.3577	0.4812	0.1611
k141_132101	0.8882	0.0917	0.0201
k141_263999	0.3805	0.5386	0.0809
k141_395855	0.1239	0.7040	0.1721
k141_198042	0.2614	0.2460	0.4926
k141_252	0.5207	0.4329	0.0464
k141_66201	0.1913	0.3388	0.4699
k141_395857	0.5842	0.2819	0.1339
k141_198043	0.5848	0.3061	0.1091
k141_253	0.8286	0.1152	0.0562
k141_132109	0.5764	0.1936	0.2300
k141_256	0.6831	0.2093	0.1076
k141_395861	0.6816	0.2803	0.0382
k141_264013	0.7187	0.1841	0.0972
k141_198047	0.9071	0.0715	0.0214
k141_66206	0.1696	0.7254	0.1050
k141_132113	0.6909	0.2448	0.0643
k141_66207	0.3440	0.2712	0.3848
k141_261	0.7128	0.1506	0.1366
k141_264016	0.9071	0.0631	0.0298
k141_198053	0.1425	0.1099	0.7475
k141_263	0.8478	0.1117	0.0405
k141_395870	0.2959	0.5238	0.1803
k141_132121	0.3162	0.2719	0.4118
k141_461800	0.4851	0.4601	0.0548
k141_264025	0.6431	0.2295	0.1274
k141_395873	0.6052	0.1978	0.1970
k141_198061	0.9054	0.0644	0.0302
k141_66219	0.5410	0.3471	0.1119
k141_132129	0.1474	0.8325	0.0201
k141_264028	0.5839	0.3294	0.0868
k141_66221	0.3927	0.3117	0.2956
k141_461804	0.2830	0.5163	0.2007
k141_274	0.5842	0.2234	0.1924
k141_329946	0.9370	0.0444	0.0186
k141_395877	0.7859	0.1395	0.0746
k141_132133	0.1280	0.7096	0.1624
k141_277	0.4077	0.3007	0.2916
k141_461805	0.4162	0.5158	0.0680
k141_132134	0.7944	0.1231	0.0825
k141_395878	0.0780	0.8009	0.1210
k141_329952	0.7482	0.1797	0.0721
k141_198073	0.1953	0.4627	0.3420
k141_281	0.4397	0.2265	0.3338
k141_395881	0.5740	0.2431	0.1829
k141_132135	0.1474	0.7543	0.0983
k141_329953	0.9361	0.0490	0.0149
k141_461806	0.0128	0.0151	0.9720
k141_66236	0.8671	0.1072	0.0257
k141_285	0.7568	0.1797	0.0635
k141_264050	0.2069	0.5625	0.2306
k141_329956	0.7375	0.2090	0.0535
k141_66244	0.8999	0.0781	0.0220
k141_66246	0.1937	0.6637	0.1426
k141_295	0.8808	0.0705	0.0487
k141_329964	0.1848	0.2289	0.5863
k141_66249	0.7591	0.1950	0.0459
k141_395899	0.7977	0.1390	0.0633
k141_461821	0.9735	0.0189	0.0076
k141_329971	0.9473	0.0437	0.0090
k141_198095	0.4892	0.3391	0.1717
k141_329972	0.1779	0.8052	0.0169
k141_395906	0.6431	0.2335	0.1234
k141_132165	0.4758	0.3855	0.1387
k141_461826	0.1359	0.7662	0.0979
k141_329973	0.6965	0.2217	0.0818
k141_132168	0.7647	0.1491	0.0863
k141_329974	0.2457	0.6595	0.0947
k141_329975	0.3198	0.4321	0.2482
k141_301	0.0912	0.3639	0.5450
k141_461832	0.8275	0.1412	0.0313
k141_329979	0.3859	0.2123	0.4019
k141_395913	0.9130	0.0697	0.0173
k141_198101	0.7973	0.1574	0.0453
k141_66269	0.9610	0.0278	0.0112
k141_395914	0.3345	0.2232	0.4423
k141_66270	0.4810	0.2842	0.2347
k141_132169	0.7158	0.2097	0.0745
k141_66271	0.9246	0.0550	0.0204
k141_461838	0.8837	0.0948	0.0215
k141_132173	0.3247	0.3154	0.3598
k141_312	0.4425	0.1580	0.3994
k141_66277	0.3068	0.3456	0.3476
k141_264095	0.7257	0.1825	0.0918
k141_329983	0.2706	0.6544	0.0750
k141_395923	0.3154	0.2741	0.4105
k141_329984	0.3627	0.4458	0.1915
k141_395924	0.3212	0.2961	0.3828
k141_316	0.0402	0.5889	0.3709
k141_132177	0.7477	0.1174	0.1350
k141_264103	0.7522	0.2132	0.0346
k141_198108	0.8192	0.1454	0.0354
k141_66282	0.2421	0.5425	0.2154
k141_461848	0.9212	0.0616	0.0171
k141_319	0.5049	0.3531	0.1420
k141_132179	0.5488	0.2757	0.1755
k141_395928	0.1654	0.4498	0.3848
k141_264107	0.1502	0.3119	0.5378
k141_461851	0.7623	0.1587	0.0790
k141_329986	0.9648	0.0273	0.0079
k141_264108	0.7782	0.1574	0.0644
k141_132184	0.2525	0.1902	0.5573
k141_66285	0.3666	0.4683	0.1651
k141_329989	0.2798	0.3362	0.3841
k141_326	0.7506	0.1522	0.0973
k141_329990	0.5707	0.3577	0.0716
k141_66288	0.6693	0.2525	0.0782
k141_330	0.8482	0.1219	0.0299
k141_264109	0.0127	0.0451	0.9422
k141_132186	0.0084	0.0130	0.9786
k141_395949	0.4880	0.3665	0.1456
k141_333	0.9687	0.0233	0.0080
k141_198136	0.7649	0.1603	0.0748
k141_264112	0.7788	0.1509	0.0703
k141_198137	0.3738	0.3116	0.3145
k141_132189	0.7210	0.2094	0.0697
k141_395953	0.0173	0.0214	0.9614
k141_329994	0.0532	0.9373	0.0095
k141_66303	0.9498	0.0361	0.0142
k141_264116	0.7748	0.1473	0.0779
k141_342	0.0607	0.8613	0.0780
k141_329995	0.9400	0.0437	0.0164
k141_198138	0.7563	0.0931	0.1506
k141_132194	0.4745	0.3186	0.2069
k141_264118	0.1385	0.1625	0.6989
k141_66308	0.5994	0.2966	0.1040
k141_132195	0.7539	0.1935	0.0526
k141_345	0.1367	0.6859	0.1773
k141_461860	0.9615	0.0274	0.0111
k141_395963	0.3781	0.3195	0.3025
k141_461861	0.1459	0.2142	0.6398
k141_330004	0.8746	0.0874	0.0380
k141_461863	0.6524	0.1691	0.1785
k141_198141	0.3846	0.5318	0.0836
k141_330008	0.1592	0.1417	0.6991
k141_461867	0.8475	0.0938	0.0587
k141_66316	0.8048	0.1419	0.0534
k141_198142	0.4527	0.2559	0.2914
k141_264120	0.0211	0.9456	0.0332
k141_198143	0.6947	0.2154	0.0899
k141_330013	0.1808	0.1017	0.7175
k141_359	0.1423	0.6974	0.1603
k141_264121	0.1777	0.4173	0.4050
k141_395974	0.7576	0.1644	0.0780
k141_132197	0.9752	0.0182	0.0066
k141_461876	0.8068	0.0979	0.0953
k141_330017	0.2510	0.5451	0.2039
k141_198150	0.3632	0.3766	0.2601
k141_264122	0.9614	0.0272	0.0114
k141_132200	0.0171	0.0226	0.9603
k141_368	0.9345	0.0445	0.0210
k141_66333	0.5961	0.2236	0.1802
k141_132205	0.8087	0.1399	0.0514
k141_66335	0.0483	0.8648	0.0869
k141_461887	0.3899	0.3268	0.2833
k141_264125	0.8811	0.0943	0.0246
k141_198153	0.2162	0.7097	0.0741
k141_375	0.5726	0.3190	0.1083
k141_395977	0.9427	0.0423	0.0151
k141_264127	0.2181	0.5527	0.2292
k141_461891	0.6566	0.2161	0.1272
k141_66340	0.5578	0.2207	0.2214
k141_264128	0.5161	0.2428	0.2411
k141_198157	0.0562	0.0507	0.8932
k141_461894	0.3830	0.4742	0.1428
k141_330037	0.0699	0.0639	0.8662
k141_66344	0.0518	0.9299	0.0182
k141_461896	0.3832	0.4077	0.2091
k141_132206	0.5062	0.3960	0.0978
k141_395984	0.8925	0.0814	0.0261
k141_388	0.1071	0.5384	0.3545
k141_461897	0.5369	0.3019	0.1612
k141_389	0.4443	0.4127	0.1430
k141_395987	0.0157	0.0206	0.9637
k141_66345	0.7206	0.2452	0.0341
k141_461898	0.0775	0.3761	0.5464
k141_198160	0.7887	0.1682	0.0431
k141_461899	0.8791	0.0993	0.0216
k141_132214	0.6411	0.2796	0.0793
k141_66347	0.8725	0.1050	0.0225
k141_394	0.4915	0.4633	0.0452
k141_330054	0.9107	0.0574	0.0318
k141_395992	0.0497	0.0982	0.8521
k141_198165	0.7716	0.1274	0.1010
k141_198168	0.5766	0.2514	0.1719
k141_264152	0.8207	0.1345	0.0449
k141_396000	0.4084	0.3709	0.2207
k141_66355	0.0694	0.9121	0.0185
k141_461907	0.0227	0.8633	0.1140
k141_403	0.6113	0.2578	0.1308
k141_132224	0.0114	0.0155	0.9730
k141_264155	0.5075	0.3579	0.1346
k141_396001	0.9106	0.0597	0.0297
k141_405	0.7079	0.1764	0.1157
k141_198170	0.5901	0.3344	0.0755
k141_461910	0.1068	0.1689	0.7243
k141_66359	0.2179	0.6446	0.1375
k141_461912	0.5564	0.2175	0.2260
k141_330070	0.0107	0.0144	0.9749
k141_264161	0.1828	0.3607	0.4564
k141_132225	0.1432	0.7907	0.0662
k141_132226	0.1324	0.1270	0.7406
k141_330072	0.0114	0.9487	0.0398
k141_264163	0.1034	0.0950	0.8016
k141_198173	0.5253	0.4084	0.0663
k141_413	0.8314	0.1075	0.0611
k141_461916	0.6947	0.1874	0.1178
k141_396016	0.0139	0.0193	0.9667
k141_66369	0.0994	0.8716	0.0290
k141_461919	0.5829	0.2415	0.1755
k141_198178	0.3012	0.2487	0.4501
k141_66372	0.9190	0.0614	0.0196
k141_330075	0.0073	0.0174	0.9753
k141_132228	0.4075	0.5294	0.0631
k141_264172	0.1945	0.6116	0.1938
k141_330076	0.0135	0.0173	0.9692
k141_66373	0.5117	0.2327	0.2556
k141_461924	0.0071	0.0149	0.9781
k141_264174	0.7400	0.1963	0.0637
k141_132231	0.7857	0.1385	0.0758
k141_461926	0.5612	0.2782	0.1606
k141_198191	0.3052	0.2933	0.4015
k141_396018	0.0019	0.9921	0.0060
k141_132233	0.4180	0.2008	0.3812
k141_66376	0.6354	0.2621	0.1025
k141_330080	0.6642	0.3105	0.0253
k141_66380	0.5534	0.3081	0.1385
k141_461931	0.8363	0.1084	0.0552
k141_421	0.5985	0.3237	0.0779
k141_330082	0.9195	0.0559	0.0245
k141_396024	0.6621	0.2521	0.0859
k141_66382	0.4866	0.2175	0.2959
k141_264183	0.8893	0.0850	0.0257
k141_132239	0.9546	0.0334	0.0120
k141_424	0.2465	0.4091	0.3444
k141_198202	0.7531	0.1732	0.0737
k141_330087	0.6399	0.1804	0.1798
k141_132241	0.9238	0.0567	0.0195
k141_66388	0.6560	0.2084	0.1356
k141_461936	0.5616	0.3345	0.1039
k141_330088	0.7767	0.1458	0.0775
k141_132243	0.0786	0.7437	0.1777
k141_66389	0.0715	0.7929	0.1356
k141_396036	0.1249	0.1113	0.7638
k141_132244	0.1188	0.0984	0.7828
k141_330091	0.8034	0.1405	0.0560
k141_461940	0.5650	0.2608	0.1742
k141_198206	0.7100	0.2471	0.0429
k141_432	0.2448	0.6704	0.0848
k141_396039	0.2118	0.6233	0.1649
k141_198207	0.0224	0.0285	0.9491
k141_330094	0.9306	0.0562	0.0132
k141_132246	0.7123	0.2210	0.0667
k141_198210	0.6632	0.1633	0.1735
k141_132248	0.5924	0.1918	0.2158
k141_198211	0.7925	0.1620	0.0455
k141_66396	0.3601	0.5211	0.1189
k141_132251	0.8396	0.1151	0.0453
k141_66397	0.4462	0.3442	0.2095
k141_330097	0.2888	0.5929	0.1183
k141_396048	0.2464	0.7031	0.0505
k141_439	0.8973	0.0790	0.0238
k141_461951	0.8489	0.1104	0.0407
k141_198212	0.1401	0.3054	0.5545
k141_264193	0.0075	0.0123	0.9803
k141_396049	0.4651	0.3032	0.2317
k141_66400	0.6188	0.2291	0.1521
