seq_name	chromosome_score	plasmid_score	virus_score
k141_70149	0.9225	0.0587	0.0189
k141_280516	0.9278	0.0524	0.0197
k141_280517	0.9644	0.0258	0.0099
k141_350649	0.4689	0.3674	0.1637
k141_210403	0.9648	0.0250	0.0102
k141_490870	0.9769	0.0166	0.0065
k141_350650	0.9416	0.0442	0.0142
k141_70155	0.0095	0.0160	0.9745
k141_19	0.6043	0.2046	0.1911
k141_280526	0.9114	0.0493	0.0393
k141_490873	0.0553	0.0590	0.8857
k141_70157	0.6506	0.2271	0.1224
k141_350651	0.1490	0.1433	0.7077
k141_280528	0.6405	0.2928	0.0668
k141_210405	0.0084	0.0190	0.9726
k141_70161	0.1654	0.0843	0.7503
k141_280529	0.7688	0.1433	0.0879
k141_420746	0.9426	0.0415	0.0159
k141_350652	0.9177	0.0557	0.0266
k141_140265	0.9676	0.0230	0.0095
k141_24	0.9127	0.0675	0.0199
k141_490877	0.6585	0.2578	0.0837
k141_490878	0.5651	0.3084	0.1265
k141_140266	0.5075	0.2938	0.1987
k141_350654	0.7539	0.1592	0.0870
k141_140267	0.2736	0.6223	0.1040
k141_210411	0.0791	0.6766	0.2443
k141_350657	0.0554	0.3267	0.6178
k141_31	0.2885	0.1694	0.5421
k141_280536	0.8158	0.1128	0.0714
k141_350659	0.7889	0.1000	0.1111
k141_420759	0.6461	0.1797	0.1742
k141_140273	0.4593	0.1944	0.3463
k141_280538	0.8478	0.1211	0.0311
k141_420760	0.6003	0.2289	0.1708
k141_210419	0.1522	0.6406	0.2073
k141_420761	0.7353	0.1421	0.1226
k141_140276	0.7228	0.1737	0.1035
k141_350665	0.2475	0.4691	0.2834
k141_420762	0.8528	0.1130	0.0341
k141_280543	0.7778	0.1386	0.0836
k141_39	0.4771	0.3173	0.2056
k141_210424	0.9150	0.0619	0.0231
k141_210426	0.0530	0.0294	0.9176
k141_140284	0.8713	0.0942	0.0345
k141_420764	0.1352	0.0949	0.7699
k141_140287	0.4611	0.3290	0.2099
k141_49	0.2607	0.6115	0.1278
k141_280547	0.9533	0.0366	0.0101
k141_140288	0.5449	0.1808	0.2743
k141_50	0.0207	0.0268	0.9526
k141_350667	0.9561	0.0289	0.0150
k141_70173	0.9754	0.0176	0.0071
k141_70174	0.7391	0.1145	0.1464
k141_420765	0.9699	0.0210	0.0091
k141_280552	0.2634	0.4489	0.2877
k141_52	0.5278	0.3499	0.1222
k141_70176	0.7699	0.1607	0.0694
k141_140292	0.8618	0.1070	0.0312
k141_210444	0.6794	0.2074	0.1132
k141_280554	0.8410	0.0963	0.0627
k141_420771	0.5827	0.2444	0.1729
k141_210446	0.9640	0.0262	0.0098
k141_54	0.8857	0.0874	0.0269
k141_490879	0.9600	0.0284	0.0116
k141_350673	0.8739	0.0860	0.0401
k141_280558	0.7919	0.1308	0.0773
k141_420772	0.0075	0.0148	0.9777
k141_490881	0.2208	0.3123	0.4669
k141_56	0.9215	0.0530	0.0255
k141_70183	0.8419	0.1258	0.0324
k141_70185	0.1469	0.7921	0.0610
k141_58	0.7561	0.2102	0.0337
k141_70186	0.8426	0.1097	0.0477
k141_420776	0.9635	0.0260	0.0104
k141_350675	0.9828	0.0125	0.0047
k141_490885	0.9455	0.0397	0.0148
k141_420779	0.9207	0.0480	0.0313
k141_350679	0.4602	0.3703	0.1695
k141_70188	0.7298	0.1422	0.1280
k141_490886	0.6467	0.1821	0.1713
k141_350683	0.2088	0.4828	0.3084
k141_140294	0.0457	0.0666	0.8877
k141_490887	0.0072	0.0114	0.9813
k141_210449	0.4233	0.4293	0.1474
k141_350685	0.0329	0.8970	0.0700
k141_350686	0.5830	0.2350	0.1820
k141_140295	0.8419	0.1107	0.0474
k141_420788	0.6779	0.1717	0.1505
k141_490889	0.8950	0.0818	0.0232
k141_420791	0.0297	0.0247	0.9457
k141_70191	0.4532	0.4333	0.1135
k141_140299	0.6975	0.1511	0.1514
k141_420792	0.2199	0.1016	0.6785
k141_65	0.9537	0.0323	0.0140
k141_280573	0.9602	0.0276	0.0122
k141_490897	0.2581	0.1647	0.5772
k141_70195	0.8278	0.1494	0.0229
k141_140301	0.8551	0.0841	0.0608
k141_210458	0.5904	0.3251	0.0844
k141_280574	0.7638	0.1220	0.1142
k141_420795	0.7308	0.2388	0.0304
k141_68	0.2469	0.6986	0.0545
k141_210459	0.6111	0.2424	0.1465
k141_490901	0.4101	0.3817	0.2082
k141_420797	0.1807	0.0358	0.7835
k141_420799	0.7048	0.1326	0.1627
k141_70201	0.8990	0.0702	0.0308
k141_490902	0.9109	0.0684	0.0207
k141_210468	0.9219	0.0599	0.0183
k141_69	0.2128	0.3576	0.4296
k141_280580	0.8042	0.0986	0.0972
k141_70208	0.9462	0.0376	0.0162
k141_280583	0.2692	0.3103	0.4205
k141_420801	0.7216	0.2241	0.0543
k141_490904	0.9623	0.0274	0.0103
k141_140311	0.0077	0.0138	0.9785
k141_490906	0.2006	0.4720	0.3273
k141_70212	0.8518	0.1025	0.0458
k141_420802	0.9588	0.0267	0.0145
k141_350688	0.9553	0.0312	0.0135
k141_490908	0.8588	0.1172	0.0240
k141_70214	0.5155	0.3174	0.1670
k141_420804	0.0817	0.0572	0.8611
k141_280587	0.1073	0.1590	0.7337
k141_70217	0.9547	0.0355	0.0098
k141_490911	0.8422	0.1193	0.0386
k141_140315	0.0230	0.5992	0.3778
k141_210476	0.9709	0.0202	0.0089
k141_74	0.9874	0.0095	0.0032
k141_70219	0.7891	0.1089	0.1020
k141_490912	0.7720	0.1646	0.0634
k141_350692	0.7838	0.1250	0.0913
k141_75	0.5635	0.3324	0.1042
k141_280593	0.0088	0.0200	0.9713
k141_210480	0.0133	0.0197	0.9670
k141_350693	0.2676	0.4926	0.2398
k141_76	0.1600	0.5830	0.2570
k141_78	0.8454	0.1089	0.0457
k141_490914	0.0240	0.0438	0.9323
k141_350697	0.9628	0.0284	0.0088
k141_420806	0.8733	0.0941	0.0326
k141_210484	0.7122	0.1714	0.1163
k141_280602	0.4282	0.0975	0.4743
k141_350700	0.7363	0.2247	0.0390
k141_210485	0.7867	0.1478	0.0655
k141_350701	0.6183	0.1863	0.1954
k141_280603	0.0638	0.0553	0.8809
k141_350702	0.1348	0.2052	0.6600
k141_210489	0.7508	0.1395	0.1097
k141_420812	0.7552	0.1601	0.0847
k141_490918	0.9382	0.0446	0.0172
k141_420813	0.6114	0.1249	0.2638
k141_79	0.9393	0.0443	0.0164
k141_280609	0.1622	0.4554	0.3825
k141_210494	0.9218	0.0551	0.0231
k141_490928	0.2222	0.1763	0.6015
k141_88	0.7494	0.1943	0.0563
k141_210499	0.6891	0.2432	0.0677
k141_420825	0.9336	0.0482	0.0182
k141_280613	0.7646	0.1767	0.0586
k141_70222	0.9083	0.0609	0.0307
k141_91	0.1533	0.2289	0.6178
k141_420827	0.0257	0.7191	0.2552
k141_210503	0.2587	0.5004	0.2409
k141_92	0.3451	0.4263	0.2286
k141_70224	0.6997	0.2383	0.0620
k141_490937	0.5975	0.2245	0.1780
k141_420829	0.9066	0.0639	0.0295
k141_280619	0.4088	0.3308	0.2605
k141_490939	0.4789	0.2743	0.2468
k141_280620	0.0554	0.2183	0.7263
k141_94	0.9352	0.0469	0.0179
k141_350704	0.9704	0.0203	0.0094
k141_210513	0.0810	0.8754	0.0436
k141_420834	0.8373	0.1148	0.0480
k141_280622	0.9595	0.0302	0.0103
k141_96	0.9214	0.0521	0.0264
k141_350705	0.6378	0.1711	0.1911
k141_490948	0.8966	0.0833	0.0201
k141_140319	0.0093	0.0225	0.9682
k141_98	0.7426	0.1685	0.0889
k141_420836	0.7346	0.1941	0.0713
k141_350708	0.8397	0.0613	0.0990
k141_490951	0.2954	0.6656	0.0389
k141_100	0.0464	0.2786	0.6750
k141_140323	0.7250	0.1816	0.0933
k141_210516	0.9296	0.0508	0.0196
k141_140324	0.9497	0.0355	0.0149
k141_420841	0.6245	0.3128	0.0626
k141_70226	0.9379	0.0441	0.0179
k141_350718	0.5337	0.3113	0.1550
k141_102	0.2129	0.2854	0.5016
k141_140329	0.8385	0.1123	0.0492
k141_350721	0.5853	0.2812	0.1335
k141_280624	0.8618	0.0881	0.0502
k141_490956	0.9768	0.0160	0.0072
k141_70232	0.9176	0.0616	0.0208
k141_210522	0.8832	0.0885	0.0283
k141_490957	0.4826	0.2857	0.2317
k141_350723	0.7597	0.1575	0.0828
k141_70234	0.0139	0.9500	0.0361
k141_280628	0.2207	0.5372	0.2421
k141_140331	0.8072	0.1635	0.0293
k141_210524	0.2189	0.3217	0.4595
k141_280629	0.9175	0.0576	0.0249
k141_420843	0.7863	0.1767	0.0371
k141_210526	0.5449	0.3274	0.1277
k141_70239	0.6843	0.1622	0.1534
k141_490967	0.3401	0.4748	0.1851
k141_140335	0.9367	0.0376	0.0257
k141_420844	0.7438	0.1742	0.0820
k141_350734	0.5215	0.3228	0.1557
k141_280635	0.9811	0.0134	0.0055
k141_140338	0.5064	0.2504	0.2431
k141_420846	0.9002	0.0759	0.0239
k141_140339	0.0264	0.0621	0.9116
k141_490971	0.2486	0.6918	0.0596
k141_350738	0.5203	0.2641	0.2156
k141_70250	0.9275	0.0530	0.0195
k141_140343	0.8455	0.1253	0.0293
k141_420851	0.8907	0.0795	0.0299
k141_280644	0.5110	0.2564	0.2326
k141_70251	0.7853	0.1779	0.0368
k141_280646	0.1609	0.6122	0.2269
k141_350743	0.8151	0.0841	0.1008
k141_490981	0.6609	0.2458	0.0933
k141_420858	0.5421	0.2721	0.1858
k141_280647	0.8039	0.1033	0.0928
k141_350746	0.9772	0.0163	0.0065
k141_210530	0.9437	0.0467	0.0097
k141_420862	0.9269	0.0544	0.0187
k141_280650	0.1526	0.3826	0.4648
k141_490989	0.7025	0.1466	0.1510
k141_210533	0.9483	0.0355	0.0162
k141_140346	0.9610	0.0264	0.0126
k141_350748	0.9711	0.0208	0.0081
k141_140347	0.0294	0.0624	0.9082
k141_490991	0.8870	0.0865	0.0264
k141_350749	0.8903	0.0491	0.0607
k141_70253	0.0106	0.0164	0.9730
k141_140350	0.7959	0.1304	0.0737
k141_420866	0.0474	0.0428	0.9098
k141_420868	0.9396	0.0482	0.0122
k141_490999	0.9779	0.0155	0.0066
k141_350755	0.4952	0.2251	0.2797
k141_140354	0.3421	0.4255	0.2324
k141_350756	0.6846	0.2306	0.0848
k141_420870	0.1907	0.5809	0.2284
k141_491002	0.4754	0.3709	0.1537
k141_140355	0.4569	0.4922	0.0508
k141_210536	0.3833	0.3145	0.3023
k141_491004	0.6999	0.2243	0.0758
k141_280652	0.9586	0.0298	0.0116
k141_420878	0.0543	0.0233	0.9224
k141_140362	0.0107	0.0226	0.9666
k141_280656	0.6200	0.1703	0.2097
k141_420880	0.3604	0.3754	0.2643
k141_350757	0.6494	0.3268	0.0238
k141_140363	0.9215	0.0578	0.0207
k141_280659	0.4954	0.4108	0.0938
k141_210551	0.9530	0.0365	0.0104
k141_140366	0.8892	0.0752	0.0356
k141_210552	0.4711	0.3516	0.1773
k141_70269	0.9735	0.0189	0.0076
k141_491013	0.7918	0.1682	0.0400
k141_350759	0.9659	0.0244	0.0098
k141_70273	0.9733	0.0213	0.0055
k141_70276	0.7064	0.2322	0.0613
k141_140377	0.0830	0.1580	0.7591
k141_491016	0.8795	0.0852	0.0352
k141_140380	0.2677	0.5213	0.2110
k141_70278	0.9558	0.0321	0.0121
k141_210568	0.7970	0.1297	0.0733
k141_140384	0.2292	0.5425	0.2283
k141_140385	0.7560	0.1043	0.1397
k141_280679	0.4432	0.4594	0.0974
k141_420891	0.8933	0.0854	0.0212
k141_70279	0.8797	0.0916	0.0287
k141_350763	0.8539	0.1239	0.0222
k141_210574	0.7885	0.1671	0.0444
k141_280691	0.1546	0.1459	0.6995
k141_420902	0.4254	0.2859	0.2887
k141_420903	0.2300	0.4305	0.3395
k141_350770	0.2347	0.4055	0.3598
k141_350771	0.0351	0.0469	0.9180
k141_70286	0.6704	0.2400	0.0896
k141_210581	0.1337	0.4981	0.3682
k141_350772	0.9241	0.0584	0.0175
k141_70287	0.8021	0.1238	0.0741
k141_420907	0.8662	0.0903	0.0435
k141_491017	0.9522	0.0344	0.0134
k141_280700	0.0922	0.6886	0.2192
k141_210589	0.3310	0.4049	0.2641
k141_420908	0.6602	0.2230	0.1168
k141_420909	0.0855	0.5006	0.4139
k141_280702	0.9659	0.0252	0.0089
k141_280703	0.9628	0.0260	0.0111
k141_70296	0.6233	0.0650	0.3117
k141_210591	0.7138	0.1727	0.1135
k141_140389	0.7946	0.1539	0.0515
k141_280704	0.7198	0.2186	0.0616
k141_70298	0.7159	0.2141	0.0700
k141_420913	0.9479	0.0363	0.0158
k141_491021	0.9062	0.0710	0.0228
k141_350785	0.9682	0.0226	0.0092
k141_210593	0.9296	0.0442	0.0263
k141_280707	0.6313	0.1876	0.1811
k141_420914	0.0880	0.1768	0.7352
k141_491022	0.8062	0.0894	0.1044
k141_70301	0.7850	0.1338	0.0812
k141_350786	0.7731	0.1626	0.0643
k141_280709	0.2185	0.1941	0.5874
k141_420920	0.4020	0.2983	0.2997
k141_210597	0.9625	0.0265	0.0110
k141_420922	0.8709	0.0783	0.0508
k141_210599	0.5952	0.1501	0.2547
k141_491025	0.8764	0.0956	0.0280
k141_210604	0.0109	0.0165	0.9726
k141_491028	0.9088	0.0696	0.0216
k141_210605	0.1505	0.7136	0.1359
k141_420929	0.5175	0.2666	0.2160
k141_70302	0.9557	0.0316	0.0127
k141_140391	0.5498	0.2157	0.2345
k141_70303	0.4887	0.2842	0.2271
k141_491030	0.6164	0.2887	0.0950
k141_420933	0.2114	0.2019	0.5867
k141_70305	0.9122	0.0650	0.0228
k141_420934	0.1426	0.1222	0.7352
k141_140396	0.9469	0.0403	0.0127
k141_491033	0.8347	0.1359	0.0294
k141_210617	0.9543	0.0298	0.0159
k141_350790	0.9428	0.0448	0.0124
k141_210618	0.2545	0.7202	0.0253
k141_491036	0.9073	0.0693	0.0233
k141_350792	0.9625	0.0277	0.0098
k141_210621	0.3245	0.2865	0.3890
k141_491037	0.6996	0.1617	0.1387
k141_420946	0.1246	0.2326	0.6428
k141_210623	0.3742	0.3397	0.2862
k141_491038	0.3241	0.2438	0.4320
k141_420948	0.0917	0.7017	0.2067
k141_420949	0.9072	0.0653	0.0274
k141_350793	0.8899	0.0832	0.0270
k141_491043	0.6098	0.2516	0.1386
k141_140398	0.9770	0.0162	0.0068
k141_491046	0.5568	0.3407	0.1025
k141_210635	0.8700	0.1030	0.0270
k141_420955	0.4293	0.3833	0.1874
k141_140400	0.0465	0.2458	0.7077
k141_491047	0.5330	0.3072	0.1598
k141_210637	0.1520	0.4339	0.4140
k141_491048	0.5477	0.2726	0.1797
k141_210638	0.0142	0.0554	0.9304
k141_140401	0.8578	0.1144	0.0278
k141_420957	0.8167	0.1264	0.0569
k141_210641	0.8344	0.0927	0.0729
k141_420958	0.5852	0.2369	0.1779
k141_113	0.8888	0.0823	0.0289
k141_210643	0.9006	0.0723	0.0270
k141_140408	0.6690	0.1646	0.1664
k141_491051	0.1243	0.1523	0.7233
k141_115	0.9545	0.0315	0.0140
k141_420961	0.9466	0.0369	0.0165
k141_210647	0.1748	0.4862	0.3390
k141_420963	0.4955	0.2028	0.3018
k141_491053	0.0241	0.0511	0.9248
k141_210650	0.0544	0.0926	0.8530
k141_120	0.2540	0.0511	0.6948
k141_420966	0.2401	0.2559	0.5040
k141_210653	0.8938	0.0837	0.0225
k141_126	0.9221	0.0571	0.0208
k141_491056	0.8715	0.0786	0.0499
k141_420969	0.0106	0.0187	0.9707
k141_130	0.7752	0.1360	0.0888
k141_420970	0.9069	0.0734	0.0197
k141_132	0.8921	0.0808	0.0271
k141_491061	0.5960	0.2777	0.1264
k141_420971	0.9682	0.0232	0.0086
k141_491062	0.3957	0.2858	0.3185
k141_136	0.4081	0.3423	0.2496
k141_210654	0.9689	0.0219	0.0093
k141_210656	0.2470	0.2552	0.4978
k141_491064	0.4422	0.0857	0.4721
k141_420975	0.2641	0.3152	0.4208
k141_139	0.1664	0.1277	0.7059
k141_210658	0.9468	0.0372	0.0161
k141_420980	0.7701	0.1224	0.1075
k141_144	0.1866	0.3106	0.5028
k141_420982	0.7997	0.1195	0.0809
k141_147	0.7353	0.1929	0.0718
k141_491074	0.9164	0.0649	0.0187
k141_210670	0.9661	0.0246	0.0093
k141_420984	0.8322	0.0792	0.0887
k141_152	0.8561	0.1147	0.0292
k141_491076	0.9673	0.0241	0.0085
k141_153	0.0745	0.0783	0.8472
k141_420993	0.4637	0.1767	0.3596
k141_491078	0.3589	0.4439	0.1972
k141_280714	0.9456	0.0393	0.0150
k141_420996	0.4794	0.3626	0.1580
k141_160	0.9281	0.0522	0.0197
k141_210684	0.4598	0.3544	0.1857
k141_280715	0.8153	0.1170	0.0676
k141_491079	0.8217	0.1243	0.0540
k141_161	0.5241	0.3210	0.1550
k141_350797	0.9639	0.0252	0.0109
k141_280717	0.6388	0.2265	0.1347
k141_162	0.6730	0.1610	0.1660
k141_210685	0.8100	0.1288	0.0611
k141_421000	0.8752	0.0835	0.0413
k141_350798	0.1504	0.6568	0.1928
k141_164	0.1157	0.0778	0.8064
k141_210688	0.2422	0.2217	0.5361
k141_165	0.9089	0.0693	0.0218
k141_210690	0.9543	0.0360	0.0097
k141_350802	0.6816	0.1983	0.1200
k141_280718	0.7058	0.1872	0.1070
k141_421002	0.7124	0.1974	0.0902
k141_350803	0.9434	0.0429	0.0137
k141_170	0.9231	0.0524	0.0245
k141_210693	0.8836	0.0799	0.0365
k141_280720	0.3151	0.2074	0.4775
k141_491092	0.9548	0.0317	0.0136
k141_173	0.2017	0.5283	0.2700
k141_421008	0.7386	0.1231	0.1382
k141_350809	0.5792	0.1908	0.2300
k141_491095	0.4345	0.3495	0.2160
k141_175	0.5881	0.2254	0.1865
k141_491096	0.7332	0.1397	0.1271
k141_177	0.5843	0.2982	0.1175
k141_350813	0.7447	0.1841	0.0711
k141_280726	0.8764	0.0804	0.0432
k141_182	0.2166	0.1479	0.6355
k141_210697	0.9151	0.0585	0.0264
k141_350815	0.9639	0.0269	0.0092
k141_210700	0.5202	0.3053	0.1745
k141_421011	0.5253	0.3982	0.0764
k141_185	0.0123	0.0187	0.9690
k141_350817	0.2130	0.2507	0.5362
k141_491107	0.2260	0.5027	0.2713
k141_491108	0.1145	0.1490	0.7364
k141_491110	0.9035	0.0662	0.0304
k141_350822	0.7238	0.1832	0.0929
k141_210711	0.6533	0.1659	0.1808
k141_421016	0.9074	0.0657	0.0269
k141_491112	0.7474	0.1353	0.1173
k141_350824	0.5569	0.1820	0.2611
k141_280730	0.9657	0.0238	0.0105
k141_210712	0.9352	0.0448	0.0200
k141_491113	0.1864	0.2797	0.5340
k141_350826	0.5120	0.2655	0.2225
k141_210713	0.7695	0.1304	0.1001
k141_491115	0.7961	0.0799	0.1241
k141_350828	0.6325	0.3068	0.0607
k141_421017	0.5610	0.2890	0.1500
k141_70309	0.9751	0.0173	0.0075
k141_280733	0.9646	0.0252	0.0103
k141_350830	0.9477	0.0377	0.0146
k141_280735	0.2338	0.3331	0.4331
k141_350831	0.2889	0.4486	0.2625
k141_491116	0.5328	0.3136	0.1536
k141_210720	0.3619	0.3727	0.2654
k141_70312	0.7847	0.1598	0.0555
k141_421020	0.2478	0.4573	0.2949
k141_491118	0.8796	0.0786	0.0419
k141_280741	0.8698	0.0996	0.0306
k141_350837	0.6999	0.2533	0.0468
k141_421023	0.9532	0.0338	0.0131
k141_350839	0.0537	0.0555	0.8907
k141_189	0.0083	0.9805	0.0112
k141_210726	0.9780	0.0158	0.0062
k141_140413	0.9645	0.0249	0.0106
k141_491120	0.9281	0.0487	0.0232
k141_350840	0.2955	0.0717	0.6328
k141_190	0.9652	0.0250	0.0098
k141_280749	0.1557	0.1770	0.6673
k141_210727	0.7519	0.1757	0.0724
k141_280750	0.6258	0.1925	0.1817
k141_210728	0.1027	0.0734	0.8239
k141_70313	0.5271	0.4144	0.0585
k141_421028	0.7833	0.1522	0.0645
k141_491126	0.5144	0.3160	0.1696
k141_210729	0.5604	0.3025	0.1371
k141_350845	0.9822	0.0127	0.0051
k141_421030	0.7324	0.1698	0.0978
k141_70315	0.9603	0.0288	0.0109
k141_140414	0.9536	0.0322	0.0142
k141_491128	0.9329	0.0495	0.0176
k141_280754	0.3833	0.3777	0.2389
k141_70316	0.1436	0.7521	0.1043
k141_350849	0.9062	0.0719	0.0219
k141_140417	0.2398	0.5405	0.2197
k141_70317	0.6353	0.1874	0.1773
k141_280757	0.9375	0.0510	0.0115
k141_210734	0.9633	0.0280	0.0088
k141_491133	0.6885	0.2100	0.1015
k141_70319	0.7626	0.1847	0.0527
k141_70320	0.4287	0.4368	0.1345
k141_210740	0.3184	0.2888	0.3928
k141_191	0.9806	0.0138	0.0056
k141_192	0.7702	0.1213	0.1085
k141_210744	0.0639	0.0713	0.8648
k141_280765	0.7816	0.1858	0.0326
k141_194	0.2011	0.0982	0.7007
k141_70321	0.5251	0.2448	0.2301
k141_196	0.8996	0.0702	0.0303
k141_491134	0.1112	0.1124	0.7764
k141_70324	0.8357	0.1136	0.0506
k141_199	0.7487	0.1236	0.1277
k141_491137	0.7877	0.0920	0.1203
k141_421034	0.9132	0.0612	0.0256
k141_210746	0.9837	0.0118	0.0045
k141_70326	0.4436	0.4196	0.1367
k141_280780	0.9070	0.0714	0.0215
k141_421035	0.9128	0.0655	0.0216
k141_210749	0.7274	0.1504	0.1222
k141_280782	0.7690	0.1559	0.0750
k141_210750	0.6987	0.2024	0.0989
k141_280783	0.9365	0.0469	0.0166
k141_280784	0.8479	0.1213	0.0308
k141_210756	0.8161	0.0904	0.0935
k141_210757	0.0579	0.0480	0.8941
k141_421041	0.0149	0.0230	0.9621
k141_491138	0.9320	0.0487	0.0192
k141_280787	0.3698	0.4506	0.1796
k141_421044	0.7070	0.2007	0.0923
k141_140432	0.9525	0.0322	0.0153
k141_491139	0.7660	0.1579	0.0762
k141_280788	0.9695	0.0221	0.0084
k141_491141	0.1595	0.6374	0.2031
k141_421052	0.7454	0.1492	0.1054
k141_491142	0.3398	0.4071	0.2531
k141_280790	0.4657	0.3242	0.2101
k141_280791	0.7522	0.1096	0.1382
k141_140441	0.8232	0.1405	0.0362
k141_491143	0.2632	0.4009	0.3359
k141_421054	0.1865	0.4000	0.4135
k141_202	0.8928	0.0782	0.0290
k141_280793	0.1821	0.4091	0.4088
k141_491147	0.5853	0.1753	0.2394
k141_204	0.0238	0.0705	0.9057
k141_140446	0.9242	0.0576	0.0182
k141_421057	0.3841	0.4296	0.1862
k141_140447	0.9516	0.0268	0.0215
k141_207	0.0520	0.8150	0.1330
k141_140448	0.3855	0.2760	0.3386
k141_70332	0.9090	0.0678	0.0232
k141_280798	0.9693	0.0224	0.0084
k141_421061	0.2429	0.3801	0.3770
k141_210	0.4732	0.0986	0.4282
k141_70333	0.9598	0.0302	0.0100
k141_421063	0.8653	0.1120	0.0226
k141_280805	0.9248	0.0572	0.0180
k141_421064	0.9247	0.0536	0.0217
k141_280806	0.5191	0.2647	0.2162
k141_214	0.8135	0.1309	0.0555
k141_216	0.9271	0.0521	0.0208
k141_70338	0.8582	0.1081	0.0336
k141_217	0.4272	0.2858	0.2870
k141_350854	0.9282	0.0522	0.0197
k141_421066	0.2561	0.6414	0.1025
k141_280817	0.8192	0.1035	0.0773
k141_350855	0.6917	0.1663	0.1421
k141_280818	0.7579	0.2059	0.0362
k141_220	0.9269	0.0583	0.0148
k141_350857	0.1556	0.1495	0.6950
k141_280826	0.8316	0.1104	0.0580
k141_350859	0.8007	0.0961	0.1032
k141_70340	0.8601	0.1050	0.0349
k141_210758	0.9730	0.0188	0.0082
k141_350861	0.8756	0.0800	0.0444
k141_280831	0.8938	0.0575	0.0487
k141_210759	0.3597	0.4433	0.1969
k141_491149	0.9697	0.0212	0.0091
k141_280835	0.5339	0.4317	0.0344
k141_350872	0.9406	0.0404	0.0190
k141_350873	0.1580	0.4489	0.3931
k141_280840	0.9495	0.0384	0.0121
k141_70346	0.8404	0.1024	0.0572
k141_222	0.8907	0.0805	0.0288
k141_223	0.9374	0.0462	0.0164
k141_491156	0.7309	0.1501	0.1190
k141_280844	0.7262	0.1760	0.0978
k141_350881	0.9392	0.0359	0.0249
k141_229	0.2415	0.4094	0.3491
k141_70355	0.6890	0.2172	0.0938
k141_491159	0.1637	0.0466	0.7897
k141_421075	0.9252	0.0538	0.0210
k141_280850	0.5643	0.2711	0.1646
k141_232	0.4290	0.3745	0.1964
k141_70358	0.4408	0.1645	0.3947
k141_421076	0.3486	0.3520	0.2994
k141_70359	0.0668	0.0942	0.8389
k141_70361	0.5548	0.2584	0.1868
k141_70364	0.6017	0.1942	0.2041
k141_421082	0.2730	0.7090	0.0180
k141_140450	0.9727	0.0191	0.0082
k141_421083	0.9259	0.0535	0.0206
k141_236	0.9347	0.0466	0.0187
k141_280851	0.9492	0.0375	0.0133
k141_140455	0.3120	0.1460	0.5420
k141_421084	0.7220	0.1936	0.0844
k141_491162	0.9097	0.0635	0.0268
k141_238	0.5011	0.3184	0.1804
k141_140457	0.0894	0.6867	0.2238
k141_280855	0.5359	0.3010	0.1630
